gene_id	start	stop	strand	gene_name	product	tu	chromosome	protein_id	taxid	TF_name	TF_K12_ortho	gene_synonyms	protein_synonyms
STM474_RS24225	4897	5163	R	STM474_RS24225	hypothetical protein,hypothetical protein	STM474_RS24230 // STM474_RS24225	NC_017675.1	WP_000627831.1	909946	NA	NA	STM474_RS24225,WP_000627831.1,RS24225	WP_000627831.1,hypothetical protein
STM474_RS00025	5114	5887	R	yaaA	peroxide stress protein YaaA,peroxide stress protein YaaA	yaaA	NC_016857.1	WP_000906175.1	909946	NA	NA	STM474_RS00025,yaaA,WP_000906175.1,RS00025	WP_000906175.1,peroxide stress protein YaaA,YaaA
STM474_RS24230	5163	5657	R	STM474_RS24230	hypothetical protein,hypothetical protein	STM474_RS24230 // STM474_RS24225	NC_017675.1	WP_001442119.1	909946	NA	NA	STM474_RS24230,WP_001442119.1,RS24230	WP_001442119.1,hypothetical protein
STM474_RS24710	5666	5950	D	STM474_RS24710	mobilization protein C,mobilization protein C	STM474_RS24710	NC_016859.1	WP_000238497.1	909946	NA	NA	STM474_RS24710,WP_000238497.1,RS24710	WP_000238497.1,mobilization protein C
STM474_RS24235	5713	6315	R	STM474_RS24235	hypothetical protein,hypothetical protein	STM474_RS24235	NC_017675.1	WP_000517689.1	909946	NA	NA	STM474_RS24235,WP_000517689.1,RS24235	WP_000517689.1,hypothetical protein
STM474_RS00030	5966	7396	R	STM474_RS00030	sodium:alanine symporter family protein,sodium:alanine symporter family protein	STM474_RS00030	NC_016857.1	WP_001113820.1	909946	NA	NA	STM474_RS00030,WP_001113820.1,RS00030	WP_001113820.1,sodium:alanine symporter family protein
STM474_RS24715	6504	6908	D	STM474_RS24715	IS91 family transposase,IS91 family transposase	STM474_RS24715	NC_016859.1	WP_001120891.1	909946	NA	NA	STM474_RS24715,WP_001120891.1,RS24715	WP_001120891.1
STM474_RS24240	6669	8015	D	STM474_RS24240	hypothetical protein,hypothetical protein	STM474_RS24240	NC_017675.1	WP_001132021.1	909946	NA	NA	STM474_RS24240,WP_001132021.1,RS24240	WP_001132021.1,hypothetical protein
STM474_RS23650	6739	6966	D	vapB	toxin-antitoxin system antitoxin VapB,antitoxin	vapC // vapB	NC_016858.1	WP_001526804.1	909946	NA	NA	STM474_RS23650,vapB,WP_001526804.1,RS23650	WP_001526804.1,toxin-antitoxin system antitoxin VapB,VapB
STM474_RS23655	6966	7364	D	vapC	tRNA(fMet)-specific endonuclease VapC,PIN domain-containing protein	vapC // vapB	NC_016858.1	WP_000911322.1	909946	NA	NA	STM474_RS23655,vapC,WP_000911322.1,RS23655	WP_000911322.1,tRNA(fMet)-specific endonuclease VapC,VapC
STM474_RS24720	7015	7851	R	STM474_RS24720	aminoglycoside O-phosphotransferase APH(6)-Id,aminoglycoside O-phosphotransferase APH(6)-Id	aph(3'')-Ib // STM474_RS24720	NC_016859.1	WP_000480968.1	909946	NA	NA	STM474_RS24720,WP_000480968.1,RS24720	WP_000480968.1,aminoglycoside O-phosphotransferase APH(6)-Id
STM474_RS23660	7373	9535	R	traD	type IV conjugative transfer system coupling protein TraD,type IV conjugative transfer system coupling protein TraD	traD	NC_016858.1	WP_000009318.1	909946	NA	NA	STM474_RS23660,traD,WP_000009318.1,RS23660	WP_000009318.1,TraD,type IV conjugative transfer system coupling protein TraD
STM474_RS00035	7665	8618	D	tal	transaldolase,transaldolase	tal	NC_016857.1	WP_000130175.1	909946	NA	NA	STM474_RS00035,tal,WP_000130175.1,RS00035	WP_000130175.1,Tal,transaldolase
STM474_RS24725	7851	8654	R	aph(3'')-Ib	aminoglycoside O-phosphotransferase APH(3'')-Ib,aminoglycoside O-phosphotransferase APH(3'')-Ib	aph(3'')-Ib // STM474_RS24720	NC_016859.1	WP_001082319.1	909946	NA	NA	STM474_RS24725,aph(3'')-Ib,WP_001082319.1,RS24725	WP_001082319.1,aminoglycoside O-phosphotransferase APH(3'')-Ib
STM474_RS24245	8294	10174	D	STM474_RS24245	colicin,colicin	STM474_RS24245	NC_017675.1	WP_001283356.1	909946	NA	NA	STM474_RS24245,WP_001283356.1,RS24245	WP_001283356.1,colicin
STM474_RS00040	8729	9319	D	mog	molybdopterin adenylyltransferase,molybdopterin adenylyltransferase	mog	NC_016857.1	WP_000380372.1	909946	NA	NA	STM474_RS00040,mog,WP_000380372.1,RS00040	WP_000380372.1,Mog,molybdopterin adenylyltransferase
STM474_RS00045	9376	9942	R	satP	acetate uptake transporter,hypothetical protein	satP	NC_016857.1	WP_000528527.1	909946	NA	NA	STM474_RS00045,satP,WP_000528527.1,RS00045	WP_000528527.1,acetate uptake transporter,SatP
STM474_RS23665	9912	10643	R	STM474_RS23665	complement resistance protein TraT,complement resistance protein TraT	trbI // traW // STM474_RS23725 // STM474_RS23720 // trbC // STM474_RS23710 // traN // trbE // traF // traQ // trbB // STM474_RS23680 // traG // STM474_RS23670 // STM474_RS23665	NC_016858.1	WP_000782438.1	909946	NA	NA	STM474_RS23665,WP_000782438.1,RS23665	WP_000782438.1,complement resistance protein TraT
STM474_RS00050	10092	10805	R	msyB	acidic protein MsyB,hypothetical protein	STM474_RS00055 // msyB	NC_016857.1	WP_001103477.1	909946	NA	NA	STM474_RS00050,msyB,WP_001103477.1,RS00050	WP_001103477.1,acidic protein MsyB,MsyB
STM474_RS24250	10192	10539	R	STM474_RS24250	hypothetical protein,hypothetical protein	STM474_RS24250	NC_017675.1	WP_000762580.1	909946	NA	NA	STM474_RS24250,WP_000762580.1,RS24250	WP_000762580.1,hypothetical protein
STM474_RS24255	10658	11005	D	STM474_RS24255	hypothetical protein,hypothetical protein	STM474_RS24255	NC_017675.1	WP_000142425.1	909946	NA	NA	STM474_RS24255,WP_000142425.1,RS24255	WP_000142425.1,hypothetical protein
STM474_RS23670	10679	11173	R	STM474_RS23670	entry exclusion protein,entry exclusion protein	trbI // traW // STM474_RS23725 // STM474_RS23720 // trbC // STM474_RS23710 // traN // trbE // traF // traQ // trbB // STM474_RS23680 // traG // STM474_RS23670 // STM474_RS23665	NC_016858.1	WP_010999946.1	909946	NA	NA	STM474_RS23670,WP_010999946.1,RS23670	WP_010999946.1,entry exclusion protein
STM474_RS00055	10841	11245	R	STM474_RS00055	DUF2541 family protein,hypothetical protein	STM474_RS00055 // msyB	NC_016857.1	WP_001258094.1	909946	NA	NA	STM474_RS00055,WP_001258094.1,RS00055	WP_001258094.1,DUF2541 family protein
STM474_RS24260	11023	11613	R	STM474_RS24260	hypothetical protein,hypothetical protein	STM474_RS24265 // STM474_RS24260	NC_017675.1	WP_000194563.1	909946	NA	NA	STM474_RS24260,WP_000194563.1,RS24260	WP_000194563.1,hypothetical protein
STM474_RS23675	11189	14011	R	traG	conjugal transfer mating pair stabilization protein TraG,conjugal transfer protein TraG	trbI // traW // STM474_RS23725 // STM474_RS23720 // trbC // STM474_RS23710 // traN // trbE // traF // traQ // trbB // STM474_RS23680 // traG // STM474_RS23670 // STM474_RS23665	NC_016858.1	WP_001007087.1	909946	NA	NA	STM474_RS23675,traG,WP_001007087.1,RS23675	WP_001007087.1,conjugal transfer mating pair stabilization protein TraG,TraG
STM474_RS00060	11593	13509	D	dnaK	molecular chaperone DnaK,molecular chaperone DnaK	dnaJ // dnaK	NC_016857.1	WP_000516125.1	909946	NA	NA	STM474_RS00060,dnaK,WP_000516125.1,RS00060	WP_000516125.1,DnaK,molecular chaperone DnaK
STM474_RS24265	11610	11870	R	STM474_RS24265	hypothetical protein,hypothetical protein	STM474_RS24265 // STM474_RS24260	NC_017675.1	WP_000343102.1	909946	NA	NA	STM474_RS24265,WP_000343102.1,RS24265	WP_000343102.1,hypothetical protein
STM474_RS24270	12439	12852	D	STM474_RS24270	hypothetical protein,hypothetical protein	STM474_RS24275 // STM474_RS24270	NC_017675.1	WP_000465034.1	909946	NA	NA	STM474_RS24270,WP_000465034.1,RS24270	WP_000465034.1,hypothetical protein
STM474_RS24275	12854	13639	D	STM474_RS24275	phage integrase family protein,phage integrase family protein	STM474_RS24275 // STM474_RS24270	NC_017675.1	WP_001164192.1	909946	NA	NA	STM474_RS24275,WP_001164192.1,RS24275	WP_001164192.1,phage integrase family protein
STM474_RS00065	13595	14734	D	dnaJ	molecular chaperone DnaJ,molecular chaperone DnaJ	dnaJ // dnaK	NC_016857.1	WP_001119009.1	909946	NA	NA	STM474_RS00065,dnaJ,WP_001119009.1,RS00065	WP_001119009.1,DnaJ,molecular chaperone DnaJ
STM474_RS23680	14008	15390	R	STM474_RS23680	conjugal transfer protein TraH,conjugal transfer pilus assembly protein TraH	trbI // traW // STM474_RS23725 // STM474_RS23720 // trbC // STM474_RS23710 // traN // trbE // traF // traQ // trbB // STM474_RS23680 // traG // STM474_RS23670 // STM474_RS23665	NC_016858.1	WP_001161719.1	909946	NA	NA	STM474_RS23680,WP_001161719.1,RS23680	WP_001161719.1,conjugal transfer protein TraH
STM474_RS24280	14223	14855	D	STM474_RS24280	ParA family protein,hypothetical protein	STM474_RS27380 // STM474_RS24280	NC_017675.1	WP_000312331.1	909946	NA	NA	STM474_RS24280,WP_000312331.1,RS24280	WP_000312331.1,ParA family protein
STM474_RS27380	14855	15229	NA	STM474_RS27380	hypothetical protein	STM474_RS27380 // STM474_RS24280	NA	NA	NA	NA	NA	STM474_RS27380,RS27380	hypothetical protein
STM474_RS00070	15014	15961	D	STM474_RS00070	LysR family transcriptional regulator,LysR family transcriptional regulator	STM474_RS00070	NC_016857.1	WP_000534902.1	909946	HTH_1	-	STM474_RS00070,WP_000534902.1,RS00070,PF00126.26	WP_000534902.1,LysR family transcriptional regulator,HTH_1
STM474_RS23685	15380	15928	R	trbB	type-F conjugative transfer system pilin assembly thiol-disulfide isomerase TrbB,type-F conjugative transfer system pilin assembly thiol-disulfide isomerase TrbB	trbI // traW // STM474_RS23725 // STM474_RS23720 // trbC // STM474_RS23710 // traN // trbE // traF // traQ // trbB // STM474_RS23680 // traG // STM474_RS23670 // STM474_RS23665	NC_016858.1	WP_000055840.1	909946	NA	NA	STM474_RS23685,trbB,WP_000055840.1,RS23685	WP_000055840.1,IncI1-type conjugal transfer protein TrbB,TrbB,type-F conjugative transfer system pilin assembly thiol-disulfide isomerase TrbB
STM474_RS24290	15468	16442	D	STM474_RS24290	hypothetical protein,hypothetical protein	STM474_RS24295 // STM474_RS24290	NC_017675.1	WP_001217836.1	909946	NA	NA	STM474_RS24290,WP_001217836.1,RS24290	WP_001217836.1,hypothetical protein
STM474_RS23690	15915	16208	R	traQ	type-F conjugative transfer system pilin chaperone TraQ,type-F conjugative transfer system pilin chaperone TraQ	trbI // traW // STM474_RS23725 // STM474_RS23720 // trbC // STM474_RS23710 // traN // trbE // traF // traQ // trbB // STM474_RS23680 // traG // STM474_RS23670 // STM474_RS23665	NC_016858.1	WP_001233881.1	909946	NA	NA	STM474_RS23690,traQ,WP_001233881.1,RS23690	WP_001233881.1,conjugal transfer protein TraQ,TraQ,type-F conjugative transfer system pilin chaperone TraQ
STM474_RS00075	16088	16432	D	STM474_RS00075	phage holin family protein,hypothetical protein	STM474_RS00075	NC_016857.1	WP_000026889.1	909946	NA	NA	STM474_RS00075,WP_000026889.1,RS00075	WP_000026889.1,phage holin family protein
STM474_RS23695	16422	17171	R	traF	type-F conjugative transfer system pilin assembly protein TraF,type-F conjugative transfer system pilin assembly protein TraF	trbI // traW // STM474_RS23725 // STM474_RS23720 // trbC // STM474_RS23710 // traN // trbE // traF // traQ // trbB // STM474_RS23680 // traG // STM474_RS23670 // STM474_RS23665	NC_016858.1	WP_001226854.1	909946	NA	NA	STM474_RS23695,traF,WP_001226854.1,RS23695	WP_001226854.1,TraF,type-F conjugative transfer system pilin assembly protein TraF
STM474_RS24295	16446	16838	D	STM474_RS24295	plasmid partitioning/stability family protein,hypothetical protein	STM474_RS24295 // STM474_RS24290	NC_017675.1	WP_000272884.1	909946	NA	NA	STM474_RS24295,WP_000272884.1,RS24295	WP_000272884.1,plasmid partitioning/stability family protein
STM474_RS00080	16493	17026	R	STM474_RS00080	glycoside hydrolase family 108 protein,hypothetical protein	STM474_RS00085 // STM474_RS00080	NC_016857.1	WP_001068132.1	909946	NA	NA	STM474_RS00080,WP_001068132.1,RS00080	WP_001068132.1,glycoside hydrolase family 108 protein
STM474_RS00085	17043	17486	R	STM474_RS00085	transcriptional regulator,transcriptional regulator	STM474_RS00085 // STM474_RS00080	NC_016857.1	WP_000860682.1	909946	Trans_reg_C	-	STM474_RS00085,WP_000860682.1,RS00085,PF00486.27	WP_000860682.1,transcriptional regulator,Trans_reg_C
STM474_RS23700	17183	17398	R	trbE	conjugal transfer protein TrbE,conjugal transfer protein TrbE	trbI // traW // STM474_RS23725 // STM474_RS23720 // trbC // STM474_RS23710 // traN // trbE // traF // traQ // trbB // STM474_RS23680 // traG // STM474_RS23670 // STM474_RS23665	NC_016858.1	WP_000700023.1	909946	NA	NA	STM474_RS23700,trbE,WP_000700023.1,RS23700	WP_000700023.1,conjugal transfer protein TrbE,TrbE
STM474_RS23705	17409	19235	R	traN	type-F conjugative transfer system mating-pair stabilization protein TraN,type-F conjugative transfer system mating-pair stabilization protein TraN	trbI // traW // STM474_RS23725 // STM474_RS23720 // trbC // STM474_RS23710 // traN // trbE // traF // traQ // trbB // STM474_RS23680 // traG // STM474_RS23670 // STM474_RS23665	NC_016858.1	WP_000827529.1	909946	NA	NA	STM474_RS23705,traN,WP_000827529.1,RS23705	WP_000827529.1,IncI1-type conjugal transfer protein TraN,TraN,type-F conjugative transfer system mating-pair stabilization protein TraN
STM474_RS24305	17519	18421	D	STM474_RS24305	DUF1281 domain-containing protein,DUF1281 domain-containing protein	STM474_RS27195 // STM474_RS24305	NC_017675.1	WP_001134319.1	909946	NA	NA	STM474_RS24305,WP_001134319.1,RS24305	WP_001134319.1,DUF1281 domain-containing protein
STM474_RS00090	17867	19966	D	STM474_RS00090	chitinase,chitinase	STM474_RS00095 // STM474_RS00090	NC_016857.1	WP_000235798.1	909946	NA	NA	STM474_RS00090,WP_000235798.1,RS00090	WP_000235798.1,chitinase
STM474_RS27195	18418	18730	NA	STM474_RS27195	hypothetical protein	STM474_RS27195 // STM474_RS24305	NA	NA	NA	NA	NA	STM474_RS27195,RS27195	
STM474_RS24310	18806	19489	D	STM474_RS24310	DNA methylase,DNA methylase	STM474_RS24320 // STM474_RS24315 // STM474_RS24310	NC_017675.1	WP_000086147.1	909946	NA	NA	STM474_RS24310,WP_000086147.1,RS24310	WP_000086147.1,DNA methylase
STM474_RS23710	19232	19651	R	STM474_RS23710	HNH endonuclease,HNH endonuclease	trbI // traW // STM474_RS23725 // STM474_RS23720 // trbC // STM474_RS23710 // traN // trbE // traF // traQ // trbB // STM474_RS23680 // traG // STM474_RS23670 // STM474_RS23665	NC_016858.1	WP_001229397.1	909946	NA	NA	STM474_RS23710,WP_001229397.1,RS23710	WP_001229397.1,HNH endonuclease
STM474_RS24315	19490	19711	D	STM474_RS24315	hypothetical protein,hypothetical protein	STM474_RS24320 // STM474_RS24315 // STM474_RS24310	NC_017675.1	WP_001104881.1	909946	NA	NA	STM474_RS24315,WP_001104881.1,RS24315	WP_001104881.1,hypothetical protein
STM474_RS23715	19688	20326	R	trbC	type-F conjugative transfer system pilin assembly protein TrbC,type-F conjugative transfer system pilin assembly protein TrbC	trbI // traW // STM474_RS23725 // STM474_RS23720 // trbC // STM474_RS23710 // traN // trbE // traF // traQ // trbB // STM474_RS23680 // traG // STM474_RS23670 // STM474_RS23665	NC_016858.1	WP_000554823.1	909946	NA	NA	STM474_RS23715,trbC,WP_000554823.1,RS23715	WP_000554823.1,TrbC,type-F conjugative transfer system pilin assembly protein TrbC
STM474_RS24320	19725	20159	D	STM474_RS24320	DUF1380 domain-containing protein,DUF1380 domain-containing protein	STM474_RS24320 // STM474_RS24315 // STM474_RS24310	NC_017675.1	WP_000274500.1	909946	NA	NA	STM474_RS24320,WP_000274500.1,RS24320	WP_000274500.1,DUF1380 domain-containing protein
STM474_RS00095	20058	23054	D	STM474_RS00095	chitinase,chitinase	STM474_RS00095 // STM474_RS00090	NC_016857.1	WP_000155792.1	909946	NA	NA	STM474_RS00095,WP_000155792.1,RS00095	WP_000155792.1,chitinase
STM474_RS27385	20205	20981	NA	STM474_RS27385	hypothetical protein	STM474_RS27385	NA	NA	NA	NA	NA	STM474_RS27385,RS27385	hypothetical protein
STM474_RS23720	20311	20619	R	STM474_RS23720	hypothetical protein,hypothetical protein	trbI // traW // STM474_RS23725 // STM474_RS23720 // trbC // STM474_RS23710 // traN // trbE // traF // traQ // trbB // STM474_RS23680 // traG // STM474_RS23670 // STM474_RS23665	NC_016858.1	WP_010999945.1	909946	NA	NA	STM474_RS23720,WP_010999945.1,RS23720	WP_010999945.1,hypothetical protein
STM474_RS23725	20638	21630	R	STM474_RS23725	conjugal transfer pilus assembly protein TraU,conjugal transfer pilus assembly protein TraU	trbI // traW // STM474_RS23725 // STM474_RS23720 // trbC // STM474_RS23710 // traN // trbE // traF // traQ // trbB // STM474_RS23680 // traG // STM474_RS23670 // STM474_RS23665	NC_016858.1	WP_000833320.1	909946	NA	NA	STM474_RS23725,WP_000833320.1,RS23725	WP_000833320.1,conjugal transfer pilus assembly protein TraU
STM474_RS24335	21399	21824	D	STM474_RS24335	antirestriction protein,antirestriction protein	STM474_RS24335	NC_017675.1	WP_001198939.1	909946	NA	NA	STM474_RS24335,WP_001198939.1,RS24335	WP_001198939.1,antirestriction protein
STM474_RS23730	21627	22259	R	traW	type-F conjugative transfer system protein TraW,type-F conjugative transfer system protein TraW	trbI // traW // STM474_RS23725 // STM474_RS23720 // trbC // STM474_RS23710 // traN // trbE // traF // traQ // trbB // STM474_RS23680 // traG // STM474_RS23670 // STM474_RS23665	NC_016858.1	WP_000871995.1	909946	NA	NA	STM474_RS23730,traW,WP_000871995.1,RS23730	WP_000871995.1,IncI1-type conjugal transfer protein TraW,TraW,type-F conjugative transfer system protein TraW
STM474_RS24340	21871	22293	D	STM474_RS24340	DUF1380 family protein,DUF1380 domain-containing protein	STM474_RS24345 // STM474_RS24340	NC_017675.1	WP_000271705.1	909946	NA	NA	STM474_RS24340,WP_000271705.1,RS24340	WP_000271705.1,DUF1380 family protein
STM474_RS23735	22256	22642	R	trbI	type-F conjugative transfer system protein TrbI,type-F conjugative transfer system protein TrbI	trbI // traW // STM474_RS23725 // STM474_RS23720 // trbC // STM474_RS23710 // traN // trbE // traF // traQ // trbB // STM474_RS23680 // traG // STM474_RS23670 // STM474_RS23665	NC_016858.1	WP_000105164.1	909946	NA	NA	STM474_RS23735,trbI,WP_000105164.1,RS23735	WP_000105164.1,TrbI,type-F conjugative transfer system protein TrbI
STM474_RS24345	22290	22481	D	STM474_RS24345	hypothetical protein,hypothetical protein	STM474_RS24345 // STM474_RS24340	NC_017675.1	WP_001027495.1	909946	NA	NA	STM474_RS24345,WP_001027495.1,RS24345	WP_001027495.1,hypothetical protein
STM474_RS26895	22552	22866	D	STM474_RS26895	hypothetical protein,hypothetical protein	STM474_RS26895	NC_017675.1	WP_001434357.1	909946	NA	NA	STM474_RS26895,WP_001434357.1,RS26895	WP_001434357.1,hypothetical protein
STM474_RS23740	22617	25265	R	traC	type IV secretion system protein TraC,type IV secretion system protein TraC	STM474_RS23745 // traC	NC_016858.1	WP_000793310.1	909946	NA	NA	STM474_RS23740,traC,WP_000793310.1,RS23740	WP_000793310.1,TraC,type IV secretion system protein TraC
STM474_RS24355	23250	23777	D	STM474_RS24355	single-stranded DNA-binding protein,single-stranded DNA-binding protein	STM474_RS24355	NC_017675.1	WP_001276120.1	909946	NA	NA	STM474_RS24355,WP_001276120.1,RS24355	WP_001276120.1,single-stranded DNA-binding protein
STM474_RS00100	23335	24039	D	STM474_RS00100	winged helix-turn-helix transcriptional regulator,hypothetical protein	STM474_RS00100	NC_016857.1	WP_000738617.1	909946	NA	NA	STM474_RS00100,WP_000738617.1,RS00100	WP_000738617.1,winged helix-turn-helix transcriptional regulator
STM474_RS24360	23835	24068	D	STM474_RS24360	DUF905 domain-containing protein,DUF905 domain-containing protein	STM474_RS24360	NC_017675.1	WP_000006024.1	909946	NA	NA	STM474_RS24360,WP_000006024.1,RS24360	WP_000006024.1,DUF905 domain-containing protein
STM474_RS24365	24127	26085	D	STM474_RS24365	ParB/RepB/Spo0J family partition protein,hypothetical protein	STM474_RS24365	NC_017675.1	WP_001145480.1	909946	HTH_23	-	STM474_RS24365,WP_001145480.1,RS24365,PF13384.5	WP_001145480.1,ParB/RepB/Spo0J family partition protein,HTH_23
STM474_RS00105	24469	25011	D	STM474_RS00105	fimbrial protein BcfA,fimbrial protein BcfA	STM474_RS00105	NC_016857.1	WP_000743357.1	909946	NA	NA	STM474_RS00105,WP_000743357.1,RS00105	WP_000743357.1,fimbrial protein BcfA
STM474_RS00110	25112	25798	D	bcfB	fimbrial biogenesis chaperone BcfB,fimbrial chaperone protein BcfB	bcfG // STM474_RS00130 // STM474_RS00125 // STM474_RS00120 // bcfC // bcfB	NC_016857.1	WP_000742554.1	909946	NA	NA	STM474_RS00110,bcfB,WP_000742554.1,RS00110	WP_000742554.1,BcfB,fimbrial biogenesis chaperone BcfB
STM474_RS23745	25281	25544	R	STM474_RS23745	hypothetical protein,hypothetical protein	STM474_RS23745 // traC	NC_016858.1	WP_001239255.1	909946	NA	NA	STM474_RS23745,WP_001239255.1,RS23745	WP_001239255.1,hypothetical protein
STM474_RS23750	25661	26128	R	STM474_RS23750	hypothetical protein,hypothetical protein	STM474_RS23765 // traV // traR // STM474_RS23750	NC_016858.1	WP_000549562.1	909946	NA	NA	STM474_RS23750,WP_000549562.1,RS23750	WP_000549562.1,hypothetical protein
STM474_RS00115	25803	28424	D	bcfC	fimbrial usher BcfC,fimbrial biogenesis outer membrane usher protein	bcfG // STM474_RS00130 // STM474_RS00125 // STM474_RS00120 // bcfC // bcfB	NC_016857.1	WP_001245854.1	909946	NA	NA	STM474_RS00115,bcfC,WP_001245854.1,RS00115	WP_001245854.1,BcfC,fimbrial usher BcfC
STM474_RS23755	26121	26342	R	traR	conjugal transfer protein TraR,conjugal transfer protein TraR	STM474_RS23765 // traV // traR // STM474_RS23750	NC_016858.1	WP_001278699.1	909946	zf-dskA_traR	-	STM474_RS23755,traR,WP_001278699.1,RS23755,PF01258.16	WP_001278699.1,conjugal transfer protein TraR,IncI1-type conjugal transfer protein TraR,TraR,zf-dskA_traR
