gene_id	start	stop	strand	gene_name	product	tu	chromosome	protein_id	taxid	TF_name	TF_K12_ortho	gene_synonyms	protein_synonyms
SL1344_RS00030	5966	7396	R	SL1344_RS00030	sodium:alanine symporter family protein,sodium:alanine symporter family protein	SL1344_RS00030	NC_016810.1	WP_001113820.1	216597	NA	NA	SL1344_RS00030,WP_001113820.1,RS00030	WP_001113820.1,sodium:alanine symporter family protein
SL1344_RS26360	6270	6494	R	SL1344_RS26360	hypothetical protein	SL1344_RS26360 // SL1344_RS24240	NC_017718.1	NA	216597	NA	NA	SL1344_RS26360,RS26360	
SL1344_RS24725	6504	7043	D	SL1344_RS24725	IS91 family transposase,IS91 family transposase	SL1344_RS24725	NC_017719.1	WP_001120891.1	216597	NA	NA	SL1344_RS24725,WP_001120891.1,RS24725	WP_001120891.1,IS91 family transposase
SL1344_RS24245	6669	8015	D	SL1344_RS24245	hypothetical protein,hypothetical protein	SL1344_RS24245	NC_017718.1	WP_001132021.1	216597	NA	NA	SL1344_RS24245,WP_001132021.1,RS24245	WP_001132021.1,hypothetical protein
SL1344_RS23655	6736	6966	D	SL1344_RS23655	antitoxin,antitoxin	SL1344_RS23660 // SL1344_RS23655	NC_017720.1	WP_001526804.1	216597	NA	NA	SL1344_RS23655,WP_001526804.1,RS23655	WP_001526804.1,antitoxin
SL1344_RS23660	6966	7364	D	SL1344_RS23660	PIN domain-containing protein,PIN domain-containing protein	SL1344_RS23660 // SL1344_RS23655	NC_017720.1	WP_000911322.1	216597	NA	NA	SL1344_RS23660,WP_000911322.1,RS23660	WP_000911322.1,PIN domain-containing protein
SL1344_RS24730	7015	7851	R	aph(6)-I	aminoglycoside O-phosphotransferase APH(6)-Id,aminoglycoside O-phosphotransferase APH(6)-Id	SL1344_RS24735 // aph(6)-I	NC_017719.1	WP_000480968.1	216597	NA	NA	SL1344_RS24730,aph(6)-I,WP_000480968.1,RS24730	WP_000480968.1,aminoglycoside O-phosphotransferase APH(6)-Id
SL1344_RS23665	7373	9535	R	traD	type IV conjugative transfer system coupling protein TraD,type IV conjugative transfer system coupling protein TraD	traD	NC_017720.1	WP_000009318.1	216597	NA	NA	SL1344_RS23665,traD,WP_000009318.1,RS23665	WP_000009318.1,TraD,type IV conjugative transfer system coupling protein TraD
SL1344_RS00035	7665	8618	D	tal	transaldolase,transaldolase	tal	NC_016810.1	WP_000130175.1	216597	NA	NA	SL1344_RS00035,tal,WP_000130175.1,RS00035	WP_000130175.1,Tal,transaldolase,transaldolase A
SL1344_RS24735	7851	8654	R	SL1344_RS24735	aminoglycoside O-phosphotransferase APH(3'')-Ib,aminoglycoside O-phosphotransferase APH(3'')-Ib	SL1344_RS24735 // aph(6)-I	NC_017719.1	WP_001082319.1	216597	NA	NA	SL1344_RS24735,WP_001082319.1,RS24735	WP_001082319.1,aminoglycoside O-phosphotransferase APH(3'')-Ib
SL1344_RS24250	8294	10174	D	SL1344_RS24250	colicin,colicin	SL1344_RS24250	NC_017718.1	WP_001283356.1	216597	NA	NA	SL1344_RS24250,WP_001283356.1,RS24250	WP_001283356.1,colicin
SL1344_RS00040	8729	9319	D	SL1344_RS00040	molybdopterin adenylyltransferase,molybdopterin adenylyltransferase	SL1344_RS00040	NC_016810.1	WP_000380372.1	216597	NA	NA	SL1344_RS00040,WP_000380372.1,RS00040	WP_000380372.1,molybdopterin adenylyltransferase
SL1344_RS00045	9376	9942	R	SL1344_RS00045	hypothetical protein,hypothetical protein	SL1344_RS00045	NC_016810.1	WP_000528527.1	216597	NA	NA	SL1344_RS00045,WP_000528527.1,RS00045	WP_000528527.1,hypothetical protein
SL1344_RS23670	9912	10643	R	SL1344_RS23670	complement resistance protein TraT,complement resistance protein TraT	traQ // trbB // SL1344_RS23685 // SL1344_RS23680 // SL1344_RS23675 // SL1344_RS23670	NC_017720.1	WP_000782438.1	216597	NA	NA	SL1344_RS23670,WP_000782438.1,RS23670	WP_000782438.1,complement resistance protein TraT
SL1344_RS00050	10092	10805	R	SL1344_RS00050	hypothetical protein,hypothetical protein	SL1344_RS00055 // SL1344_RS00050	NC_016810.1	WP_001103477.1	216597	NA	NA	SL1344_RS00050,WP_001103477.1,RS00050	WP_001103477.1,hypothetical protein
SL1344_RS24255	10192	10539	R	SL1344_RS24255	hypothetical protein,hypothetical protein	SL1344_RS24255	NC_017718.1	WP_000762580.1	216597	NA	NA	SL1344_RS24255,WP_000762580.1,RS24255	WP_000762580.1,hypothetical protein
SL1344_RS24260	10658	11005	D	SL1344_RS24260	hypothetical protein,hypothetical protein	SL1344_RS24260	NC_017718.1	WP_000142425.1	216597	NA	NA	SL1344_RS24260,WP_000142425.1,RS24260	WP_000142425.1,hypothetical protein
SL1344_RS23675	10679	11173	R	SL1344_RS23675	entry exclusion protein,entry exclusion protein	traQ // trbB // SL1344_RS23685 // SL1344_RS23680 // SL1344_RS23675 // SL1344_RS23670	NC_017720.1	WP_010999946.1	216597	NA	NA	SL1344_RS23675,WP_010999946.1,RS23675	WP_010999946.1,entry exclusion protein
SL1344_RS00055	10841	11245	R	SL1344_RS00055	hypothetical protein,hypothetical protein	SL1344_RS00055 // SL1344_RS00050	NC_016810.1	WP_001258094.1	216597	NA	NA	SL1344_RS00055,WP_001258094.1,RS00055	WP_001258094.1,hypothetical protein
SL1344_RS24265	11023	11613	R	SL1344_RS24265	hypothetical protein,hypothetical protein	SL1344_RS24270 // SL1344_RS24265	NC_017718.1	WP_000194563.1	216597	NA	NA	SL1344_RS24265,WP_000194563.1,RS24265	WP_000194563.1,hypothetical protein
SL1344_RS23680	11189	14011	R	SL1344_RS23680	conjugal transfer protein TraG,conjugal transfer protein TraG	traQ // trbB // SL1344_RS23685 // SL1344_RS23680 // SL1344_RS23675 // SL1344_RS23670	NC_017720.1	WP_001007087.1	216597	NA	NA	SL1344_RS23680,WP_001007087.1,RS23680	WP_001007087.1,conjugal transfer protein TraG
SL1344_RS00060	11593	13509	D	SL1344_RS00060	molecular chaperone DnaK,molecular chaperone DnaK	SL1344_RS00060	NC_016810.1	WP_000516125.1	216597	NA	NA	SL1344_RS00060,WP_000516125.1,RS00060	WP_000516125.1,molecular chaperone DnaK
SL1344_RS24270	11610	11870	R	SL1344_RS24270	hypothetical protein,hypothetical protein	SL1344_RS24270 // SL1344_RS24265	NC_017718.1	WP_000343102.1	216597	NA	NA	SL1344_RS24270,WP_000343102.1,RS24270	WP_000343102.1,hypothetical protein
SL1344_RS24275	12439	12852	D	SL1344_RS24275	hypothetical protein,hypothetical protein	SL1344_RS24280 // SL1344_RS24275	NC_017718.1	WP_000465034.1	216597	NA	NA	SL1344_RS24275,WP_000465034.1,RS24275	WP_000465034.1,hypothetical protein
SL1344_RS24280	12854	13639	D	SL1344_RS24280	phage integrase family protein,phage integrase family protein	SL1344_RS24280 // SL1344_RS24275	NC_017718.1	WP_001164192.1	216597	NA	NA	SL1344_RS24280,WP_001164192.1,RS24280	WP_001164192.1,phage integrase family protein
SL1344_RS00065	13595	14734	D	dnaJ	molecular chaperone DnaJ,molecular chaperone DnaJ	dnaJ	NC_016810.1	WP_001119009.1	216597	NA	NA	SL1344_RS00065,dnaJ,WP_001119009.1,RS00065	WP_001119009.1,DnaJ,molecular chaperone DnaJ
SL1344_RS26365	13893	14096	D	SL1344_RS26365	hypothetical protein,hypothetical protein	SL1344_RS26365	NC_017718.1	WP_001396200.1	216597	NA	NA	SL1344_RS26365,WP_001396200.1,RS26365	WP_001396200.1,hypothetical protein
SL1344_RS23685	14008	15390	R	SL1344_RS23685	conjugal transfer pilus assembly protein TraH,conjugal transfer pilus assembly protein TraH	traQ // trbB // SL1344_RS23685 // SL1344_RS23680 // SL1344_RS23675 // SL1344_RS23670	NC_017720.1	WP_001161719.1	216597	NA	NA	SL1344_RS23685,WP_001161719.1,RS23685	WP_001161719.1,conjugal transfer pilus assembly protein TraH
SL1344_RS24285	14223	14855	D	SL1344_RS24285	hypothetical protein,hypothetical protein	SL1344_RS24285	NC_017718.1	WP_000312331.1	216597	NA	NA	SL1344_RS24285,WP_000312331.1,RS24285	WP_000312331.1,hypothetical protein
SL1344_RS00070	15014	15961	D	SL1344_RS00070	LysR family transcriptional regulator,LysR family transcriptional regulator	SL1344_RS00070	NC_016810.1	WP_000534902.1	216597	HTH_1	-	SL1344_RS00070,WP_000534902.1,RS00070,PF00126.26	WP_000534902.1,LysR family transcriptional regulator,HTH_1
SL1344_RS26910	15026	15229	D	SL1344_RS26910	hypothetical protein,hypothetical protein	SL1344_RS26910	NC_017718.1	WP_001394937.1	216597	NA	NA	SL1344_RS26910,WP_001394937.1,RS26910	WP_001394937.1,hypothetical protein
SL1344_RS23690	15380	15928	R	trbB	type-F conjugative transfer system pilin assembly thiol-disulfide isomerase TrbB,type-F conjugative transfer system pilin assembly thiol-disulfide isomerase TrbB	traQ // trbB // SL1344_RS23685 // SL1344_RS23680 // SL1344_RS23675 // SL1344_RS23670	NC_017720.1	WP_000055840.1	216597	NA	NA	SL1344_RS23690,trbB,WP_000055840.1,RS23690	WP_000055840.1,TrbB,type-F conjugative transfer system pilin assembly thiol-disulfide isomerase TrbB
SL1344_RS24295	15468	16442	D	SL1344_RS24295	hypothetical protein,hypothetical protein	SL1344_RS24300 // SL1344_RS24295	NC_017718.1	WP_001217836.1	216597	NA	NA	SL1344_RS24295,WP_001217836.1,RS24295	WP_001217836.1,hypothetical protein
SL1344_RS23695	15915	16208	R	traQ	type-F conjugative transfer system pilin chaperone TraQ,type-F conjugative transfer system pilin chaperone TraQ	traQ // trbB // SL1344_RS23685 // SL1344_RS23680 // SL1344_RS23675 // SL1344_RS23670	NC_017720.1	WP_001233881.1	216597	NA	NA	SL1344_RS23695,traQ,WP_001233881.1,RS23695	WP_001233881.1,TraQ,type-F conjugative transfer system pilin chaperone TraQ
SL1344_RS00075	16088	16432	D	SL1344_RS00075	hypothetical protein,hypothetical protein	SL1344_RS00075	NC_016810.1	WP_000026889.1	216597	NA	NA	SL1344_RS00075,WP_000026889.1,RS00075	WP_000026889.1,hypothetical protein
SL1344_RS23700	16422	17171	R	traF	type-F conjugative transfer system pilin assembly protein TraF,type-F conjugative transfer system pilin assembly protein TraF	trbI // traW // SL1344_RS23730 // SL1344_RS23725 // trbC // SL1344_RS23715 // traN // SL1344_RS23705 // traF	NC_017720.1	WP_001226854.1	216597	NA	NA	SL1344_RS23700,traF,WP_001226854.1,RS23700	WP_001226854.1,TraF,type-F conjugative transfer system pilin assembly protein TraF
SL1344_RS24300	16446	16838	D	SL1344_RS24300	hypothetical protein,hypothetical protein	SL1344_RS24300 // SL1344_RS24295	NC_017718.1	WP_000272884.1	216597	NA	NA	SL1344_RS24300,WP_000272884.1,RS24300	WP_000272884.1,hypothetical protein
SL1344_RS00080	16493	17026	R	SL1344_RS00080	hypothetical protein,hypothetical protein	SL1344_RS00085 // SL1344_RS00080	NC_016810.1	WP_001068132.1	216597	NA	NA	SL1344_RS00080,WP_001068132.1,RS00080	WP_001068132.1,hypothetical protein
SL1344_RS24305	16922	17101	R	SL1344_RS24305	hypothetical protein,hypothetical protein	SL1344_RS24305	NC_017718.1	WP_000618104.1	216597	NA	NA	SL1344_RS24305,WP_000618104.1,RS24305	WP_000618104.1,hypothetical protein
SL1344_RS00085	17043	17486	R	SL1344_RS00085	transcriptional regulator,transcriptional regulator	SL1344_RS00085 // SL1344_RS00080	NC_016810.1	WP_000860682.1	216597	Trans_reg_C	-	SL1344_RS00085,WP_000860682.1,RS00085,PF00486.27	WP_000860682.1,transcriptional regulator,Trans_reg_C
SL1344_RS23705	17183	17398	R	SL1344_RS23705	conjugal transfer protein TrbE,conjugal transfer protein TrbE	trbI // traW // SL1344_RS23730 // SL1344_RS23725 // trbC // SL1344_RS23715 // traN // SL1344_RS23705 // traF	NC_017720.1	WP_000700023.1	216597	NA	NA	SL1344_RS23705,WP_000700023.1,RS23705	WP_000700023.1,conjugal transfer protein TrbE
SL1344_RS26370	17206	17481	D	SL1344_RS26370	hypothetical protein,hypothetical protein	SL1344_RS27325 // SL1344_RS24310 // SL1344_RS26370	NC_017718.1	WP_001348078.1	216597	NA	NA	SL1344_RS26370,WP_001348078.1,RS26370	WP_001348078.1,hypothetical protein
SL1344_RS23710	17409	19235	R	traN	type-F conjugative transfer system mating-pair stabilization protein TraN,type-F conjugative transfer system mating-pair stabilization protein TraN	trbI // traW // SL1344_RS23730 // SL1344_RS23725 // trbC // SL1344_RS23715 // traN // SL1344_RS23705 // traF	NC_017720.1	WP_000827529.1	216597	NA	NA	SL1344_RS23710,traN,WP_000827529.1,RS23710	WP_000827529.1,TraN,type-F conjugative transfer system mating-pair stabilization protein TraN
SL1344_RS24310	17519	18421	D	SL1344_RS24310	DUF1281 domain-containing protein,DUF1281 domain-containing protein	SL1344_RS27325 // SL1344_RS24310 // SL1344_RS26370	NC_017718.1	WP_001348079.1	216597	NA	NA	SL1344_RS24310,WP_001348079.1,RS24310	WP_001348079.1,DUF1281 domain-containing protein
SL1344_RS00090	17867	19966	D	SL1344_RS00090	chitinase,chitinase	SL1344_RS00095 // SL1344_RS00090	NC_016810.1	WP_000235798.1	216597	NA	NA	SL1344_RS00090,WP_000235798.1,RS00090	WP_000235798.1,chitinase
SL1344_RS27325	18425	18730	D	SL1344_RS27325	hypothetical protein,hypothetical protein	SL1344_RS27325 // SL1344_RS24310 // SL1344_RS26370	NC_017718.1	WP_001348080.1	216597	NA	NA	SL1344_RS27325,WP_001348080.1,RS27325	WP_001348080.1,hypothetical protein
SL1344_RS24315	18806	19489	D	SL1344_RS24315	DNA methylase,DNA methylase	SL1344_RS24325 // SL1344_RS24320 // SL1344_RS24315	NC_017718.1	WP_000086147.1	216597	NA	NA	SL1344_RS24315,WP_000086147.1,RS24315	WP_000086147.1,DNA methylase
SL1344_RS23715	19232	19651	R	SL1344_RS23715	HNH endonuclease,HNH endonuclease	trbI // traW // SL1344_RS23730 // SL1344_RS23725 // trbC // SL1344_RS23715 // traN // SL1344_RS23705 // traF	NC_017720.1	WP_001229397.1	216597	NA	NA	SL1344_RS23715,WP_001229397.1,RS23715	WP_001229397.1,HNH endonuclease
SL1344_RS24320	19490	19711	D	SL1344_RS24320	hypothetical protein,hypothetical protein	SL1344_RS24325 // SL1344_RS24320 // SL1344_RS24315	NC_017718.1	WP_001104881.1	216597	NA	NA	SL1344_RS24320,WP_001104881.1,RS24320	WP_001104881.1,hypothetical protein
SL1344_RS23720	19688	20326	R	trbC	type-F conjugative transfer system pilin assembly protein TrbC,type-F conjugative transfer system pilin assembly protein TrbC	trbI // traW // SL1344_RS23730 // SL1344_RS23725 // trbC // SL1344_RS23715 // traN // SL1344_RS23705 // traF	NC_017720.1	WP_000554823.1	216597	NA	NA	SL1344_RS23720,trbC,WP_000554823.1,RS23720	WP_000554823.1,TrbC,type-F conjugative transfer system pilin assembly protein TrbC
SL1344_RS24325	19725	20159	D	SL1344_RS24325	DUF1380 domain-containing protein,DUF1380 domain-containing protein	SL1344_RS24325 // SL1344_RS24320 // SL1344_RS24315	NC_017718.1	WP_000274500.1	216597	NA	NA	SL1344_RS24325,WP_000274500.1,RS24325	WP_000274500.1,DUF1380 domain-containing protein
SL1344_RS00095	20058	23054	D	SL1344_RS00095	chitinase,chitinase	SL1344_RS00095 // SL1344_RS00090	NC_016810.1	WP_000155792.1	216597	NA	NA	SL1344_RS00095,WP_000155792.1,RS00095	WP_000155792.1,chitinase
SL1344_RS27330	20205	20430	D	SL1344_RS27330	hypothetical protein	SL1344_RS27330	NC_017718.1	NA	216597	NA	NA	SL1344_RS27330,RS27330	
SL1344_RS23725	20311	20619	R	SL1344_RS23725	hypothetical protein,hypothetical protein	trbI // traW // SL1344_RS23730 // SL1344_RS23725 // trbC // SL1344_RS23715 // traN // SL1344_RS23705 // traF	NC_017720.1	WP_010999945.1	216597	NA	NA	SL1344_RS23725,WP_010999945.1,RS23725	WP_010999945.1,hypothetical protein
SL1344_RS23730	20638	21630	R	SL1344_RS23730	conjugal transfer pilus assembly protein TraU,conjugal transfer pilus assembly protein TraU	trbI // traW // SL1344_RS23730 // SL1344_RS23725 // trbC // SL1344_RS23715 // traN // SL1344_RS23705 // traF	NC_017720.1	WP_000833320.1	216597	NA	NA	SL1344_RS23730,WP_000833320.1,RS23730	WP_000833320.1,conjugal transfer pilus assembly protein TraU
SL1344_RS26380	20854	21426	D	SL1344_RS26380	DUF1472 domain-containing protein,DUF1472 domain-containing protein	SL1344_RS26380	NC_017718.1	WP_001668483.1	216597	NA	NA	SL1344_RS26380,WP_001668483.1,RS26380	WP_001668483.1,DUF1472 domain-containing protein
SL1344_RS24340	21399	21824	D	SL1344_RS24340	antirestriction protein,antirestriction protein	SL1344_RS24340	NC_017718.1	WP_001198939.1	216597	NA	NA	SL1344_RS24340,WP_001198939.1,RS24340	WP_001198939.1,antirestriction protein
SL1344_RS23735	21627	22259	R	traW	type-F conjugative transfer system protein TraW,type-F conjugative transfer system protein TraW	trbI // traW // SL1344_RS23730 // SL1344_RS23725 // trbC // SL1344_RS23715 // traN // SL1344_RS23705 // traF	NC_017720.1	WP_000871995.1	216597	NA	NA	SL1344_RS23735,traW,WP_000871995.1,RS23735	WP_000871995.1,TraW,type-F conjugative transfer system protein TraW
SL1344_RS24345	21871	22293	D	SL1344_RS24345	DUF1380 domain-containing protein,DUF1380 domain-containing protein	SL1344_RS24350 // SL1344_RS24345	NC_017718.1	WP_000271705.1	216597	NA	NA	SL1344_RS24345,WP_000271705.1,RS24345	WP_000271705.1,DUF1380 domain-containing protein
SL1344_RS23740	22256	22642	R	trbI	type-F conjugative transfer system protein TrbI,type-F conjugative transfer system protein TrbI	trbI // traW // SL1344_RS23730 // SL1344_RS23725 // trbC // SL1344_RS23715 // traN // SL1344_RS23705 // traF	NC_017720.1	WP_000105164.1	216597	NA	NA	SL1344_RS23740,trbI,WP_000105164.1,RS23740	WP_000105164.1,TrbI,type-F conjugative transfer system protein TrbI
SL1344_RS24350	22290	22481	D	SL1344_RS24350	hypothetical protein,hypothetical protein	SL1344_RS24350 // SL1344_RS24345	NC_017718.1	WP_001027495.1	216597	NA	NA	SL1344_RS24350,WP_001027495.1,RS24350	WP_001027495.1,hypothetical protein
SL1344_RS26385	22460	22558	R	SL1344_RS26385	pilus assembly protein	SL1344_RS26385	NC_017718.1	NA	216597	NA	NA	SL1344_RS26385,RS26385	
SL1344_RS26915	22552	22866	D	SL1344_RS26915	hypothetical protein,hypothetical protein	SL1344_RS26915	NC_017718.1	WP_001434357.1	216597	NA	NA	SL1344_RS26915,WP_001434357.1,RS26915	WP_001434357.1,hypothetical protein
SL1344_RS23745	22617	25265	R	traC	type IV secretion system protein TraC,type IV secretion system protein TraC	SL1344_RS23750 // traC	NC_017720.1	WP_000793310.1	216597	NA	NA	SL1344_RS23745,traC,WP_000793310.1,RS23745	WP_000793310.1,TraC,type IV secretion system protein TraC
SL1344_RS26395	23047	23253	D	SL1344_RS26395	hypothetical protein,hypothetical protein	SL1344_RS24370 // SL1344_RS24365 // SL1344_RS24360 // SL1344_RS26395	NC_017718.1	WP_001367801.1	216597	NA	NA	SL1344_RS26395,WP_001367801.1,RS26395	WP_001367801.1,hypothetical protein
SL1344_RS24360	23250	23777	D	SL1344_RS24360	single-stranded DNA-binding protein,single-stranded DNA-binding protein	SL1344_RS24370 // SL1344_RS24365 // SL1344_RS24360 // SL1344_RS26395	NC_017718.1	WP_001276120.1	216597	NA	NA	SL1344_RS24360,WP_001276120.1,RS24360	WP_001276120.1,single-stranded DNA-binding protein
SL1344_RS00100	23335	24039	D	SL1344_RS00100	hypothetical protein,hypothetical protein	SL1344_RS00100	NC_016810.1	WP_000738617.1	216597	NA	NA	SL1344_RS00100,WP_000738617.1,RS00100	WP_000738617.1,hypothetical protein
