gene_name_K12	gene_name_SL1344	gene_name_LT2	gene_name_14028s	gene_name_ST474	gene_id_K12	gene_id_SL1344	gene_id_LT2	gene_id_14028s	gene_id_ST474	ortho_id
gltP	SL1344_RS21980	gltP	gltP	gltP	b4077	SL1344_RS21980	STM4283	STM14_RS22480	STM474_RS21980	ortho_15
ydhR	SL1344_RS17865	STM3461	STM14_RS18370	STM474_RS17865	b1667	SL1344_RS17865	STM3461	STM14_RS18370	STM474_RS17865	ortho_16
mdtD	SL1344_RS10945	yegB	STM14_RS11850	STM474_RS10945	b2077	SL1344_RS10945	STM2129	STM14_RS11850	STM474_RS10945	ortho_17
ycaL	SL1344_RS04760	ycaL	STM14_RS05345	STM474_RS04760	b0909	SL1344_RS04760	STM0979	STM14_RS05345	STM474_RS04760	ortho_18
fixC	SL1344_RS00395	fixC	STM14_RS00965	STM474_RS00395	b0043	SL1344_RS00395	STM0077	STM14_RS00965	STM474_RS00395	ortho_19
oppF	SL1344_RS08705	oppF	oppF	oppF	b1247	SL1344_RS08705	STM1742	STM14_RS09610	STM474_RS08705	ortho_20
argH	SL1344_RS21180	argH	STM14_RS21680	argH	b3960	SL1344_RS21180	STM4123	STM14_RS21680	STM474_RS21180	ortho_21
yraR	SL1344_RS16880	yraR	STM14_RS17385	STM474_RS16880	b3152	SL1344_RS16880	STM3268	STM14_RS17385	STM474_RS16880	ortho_22
nfo	SL1344_RS11315	nfo	STM14_RS12220	nfo	b2159	SL1344_RS11315	STM2203	STM14_RS12220	STM474_RS11315	ortho_23
fruK	SL1344_RS11325	fruK	STM14_RS12230	fruK	b2168	SL1344_RS11325	STM2205	STM14_RS12230	STM474_RS11325	ortho_24
rrrD	SL1344_RS05030	STM1028	STM14_RS05615	STM474_RS05030	b0555	SL1344_RS05030	STM1028	STM14_RS05615	STM474_RS05030	ortho_25
napF	napF	napF	napF	napF	b2208	SL1344_RS11615	STM2261	STM14_RS12520	STM474_RS11615	ortho_26
yejF	SL1344_RS11395	yejF	yejF	yejF	b2180	SL1344_RS11395	STM2219	STM14_RS12300	STM474_RS11395	ortho_27
ygdB	SL1344_RS15505	ygdB	STM14_RS16030	STM474_RS15505	b2824	SL1344_RS15505	STM2998	STM14_RS16030	STM474_RS15505	ortho_28
envZ	SL1344_RS18065	envZ	envZ	envZ	b3404	SL1344_RS18065	STM3501	STM14_RS18570	STM474_RS18065	ortho_29
metC	SL1344_RS16345	metC	STM14_RS16875	metC	b3008	SL1344_RS16345	STM3161	STM14_RS16875	STM474_RS16345	ortho_30
ydhU	SL1344_RS10615	phsC	phsC	STM474_RS10615	b1670	SL1344_RS10615	STM2063	STM14_RS11520	STM474_RS10615	ortho_31
dnaN	SL1344_RS19755	dnaN	STM14_RS20260	dnaN	b3701	SL1344_RS19755	STM3837	STM14_RS20260	STM474_RS19755	ortho_32
iadA	SL1344_RS23150	iadA	STM14_RS23645	STM474_RS23150	b4328	SL1344_RS23150	STM4512	STM14_RS23645	STM474_RS23150	ortho_33
ydcJ	SL1344_RS08095	STM1624	STM14_RS08995	STM474_RS08095	b1423	SL1344_RS08095	STM1624	STM14_RS08995	STM474_RS08095	ortho_34
psiE	SL1344_RS21695	yjbA	psiE	psiE	b4030	SL1344_RS21695	STM4226	STM14_RS22195	STM474_RS21695	ortho_35
yhbQ	SL1344_RS16895	yhbQ	STM14_RS17400	STM474_RS16895	b3155	SL1344_RS16895	STM3271	STM14_RS17400	STM474_RS16895	ortho_36
yghW	SL1344_RS16295	yghW	STM14_RS16825	STM474_RS16295	b2998	SL1344_RS16295	STM3151	STM14_RS16825	STM474_RS16295	ortho_37
yegT	SL1344_RS11010	yegT	STM14_RS11915	STM474_RS11010	b2098	SL1344_RS11010	STM2142	STM14_RS11915	STM474_RS11010	ortho_38
frwC	SL1344_RS21125	frwC	STM14_RS21625	STM474_RS21125	b3949	SL1344_RS21125	STM4112	STM14_RS21625	STM474_RS21125	ortho_39
ushA	ushA	ushA	ushA	STM474_RS02515	b0480	SL1344_RS02515	STM0494	STM14_RS03085	STM474_RS02515	ortho_40
yeiH	SL1344_RS11310	yeiH	STM14_RS12215	STM474_RS11310	b2158	SL1344_RS11310	STM2202	STM14_RS12215	STM474_RS11310	ortho_41
rffC	SL1344_RS20185	wecD	STM14_RS20685	rffC	b3790	SL1344_RS20185	STM3924	STM14_RS20685	STM474_RS20185	ortho_42
manZ	SL1344_RS09150	manZ	STM14_RS10055	STM474_RS09150	b1819	SL1344_RS09150	STM1832	STM14_RS10055	STM474_RS09150	ortho_43
lon	SL1344_RS02300	lon	STM14_RS02870	lon	b0439	SL1344_RS02300	STM0450	STM14_RS02870	STM474_RS02300	ortho_44
yjeI	SL1344_RS22240	yjeI	STM14_RS22735	STM474_RS22240	b4144	SL1344_RS22240	STM4331	STM14_RS22735	STM474_RS22240	ortho_45
dgoK	SL1344_RS19715	dgoK	STM14_RS20220	STM474_RS19715	b3693	SL1344_RS19715	STM3829	STM14_RS20220	STM474_RS19715	ortho_46
yiaF	SL1344_RS18800	yiaF	STM14_RS19305	STM474_RS18800	b3554	SL1344_RS18800	STM3647	STM14_RS19305	STM474_RS18800	ortho_47
amyA	SL1344_RS09820	amyA	STM14_RS10725	amyA	b1927	SL1344_RS09820	STM1963	STM14_RS10725	STM474_RS09820	ortho_48
dacA	SL1344_RS03215	dacA	STM14_RS03790	dacA	b0632	SL1344_RS03215	STM0637	STM14_RS03790	STM474_RS03215	ortho_49
gpr	SL1344_RS12350	STM2406	STM14_RS13255	mgrA	b3001	SL1344_RS12350	STM2406	STM14_RS13255	STM474_RS12350	ortho_50
bax	SL1344_RS18875	bax	STM14_RS19380	STM474_RS18875	b3570	SL1344_RS18875	STM3663	STM14_RS19380	STM474_RS18875	ortho_51
ugpA	SL1344_RS18330	ugpA	STM14_RS18835	ugpA	b3452	SL1344_RS18330	STM3556	STM14_RS18835	STM474_RS18330	ortho_52
hycA	SL1344_RS14775	hycA	hycA	hycA	b2725	SL1344_RS14775	STM2853	STM14_RS15305	STM474_RS14775	ortho_53
yfbU	SL1344_RS11980	yfbU	STM14_RS12885	STM474_RS11980	b2294	SL1344_RS11980	STM2335	STM14_RS12885	STM474_RS11980	ortho_54
cadC	SL1344_RS13105	cadC	cadC	cadC	b4133	SL1344_RS13105	STM2557	STM14_RS14010	STM474_RS13105	ortho_55
yoaA	SL1344_RS09095	yoaA	STM14_RS10000	STM474_RS09095	b1808	SL1344_RS09095	STM1821	STM14_RS10000	STM474_RS09095	ortho_56
ruvA	SL1344_RS09480	ruvA	ruvA	ruvA	b1861	SL1344_RS09480	STM1895	STM14_RS10385	STM474_RS09480	ortho_57
yghA	SL1344_RS16325	yghA	yghA	STM474_RS16325	b3003	SL1344_RS16325	STM3157	STM14_RS16855	STM474_RS16325	ortho_58
hslR	SL1344_RS18045	yrfH	STM14_RS18550	hslR	b3400	SL1344_RS18045	STM3497	STM14_RS18550	STM474_RS18045	ortho_59
yqeI	SL1344_RS19360	marT	STM14_RS19865	STM474_RS19360	b2847	SL1344_RS19360	STM3759	STM14_RS19865	STM474_RS19360	ortho_60
fliE	SL1344_RS09845	fliE	fliE	fliE	b1937	SL1344_RS09845	STM1968	STM14_RS10750	STM474_RS09845	ortho_61
hemX	SL1344_RS20245	hemX	STM14_RS20745	hemX	b3803	SL1344_RS20245	STM3936	STM14_RS20745	STM474_RS20245	ortho_62
bioC	SL1344_RS04030	bioC	bioC	bioC	b0777	SL1344_RS04030	STM0796	STM14_RS04605	STM474_RS04030	ortho_63
wzxC	SL1344_RS10810	wzxC	STM14_RS11715	wzxC	b2046	SL1344_RS10810	STM2102	STM14_RS11715	STM474_RS10810	ortho_64
yoaH	SL1344_RS09105	yoaH	STM14_RS10010	STM474_RS09105	b1811	SL1344_RS09105	STM1823	STM14_RS10010	STM474_RS09105	ortho_65
ytjC	SL1344_RS23520	gpmB	gpmB	gpmB	b4395	SL1344_RS23520	STM4585	STM14_RS24015	STM474_RS23520	ortho_66
acrB	SL1344_RS17515	acrD	acrF	STM474_RS02420	b0462	SL1344_RS17515	STM2481	STM14_RS18020	STM474_RS02420	ortho_67
ybeD	SL1344_RS03210	ybeD	STM14_RS03785	STM474_RS03210	b0631	SL1344_RS03210	STM0636	STM14_RS03785	STM474_RS03210	ortho_68
ychA	SL1344_RS08850	sirB1	STM14_RS09755	STM474_RS08850	b1214	SL1344_RS08850	STM1773	STM14_RS09755	STM474_RS08850	ortho_69
yhgF	SL1344_RS18080	yhgF	yhgF	STM474_RS18080	b3407	SL1344_RS18080	STM3504	STM14_RS18585	STM474_RS18080	ortho_70
ubiU	SL1344_RS16910	yhbU	STM14_RS17415	STM474_RS16910	b3158	SL1344_RS16910	STM3274	STM14_RS17415	STM474_RS16910	ortho_71
galS	SL1344_RS11255	galS	STM14_RS12160	galS	b2151	SL1344_RS11255	STM2191	STM14_RS12160	STM474_RS11255	ortho_72
mdtH	SL1344_RS05745	mdtH	STM14_RS06330	mdtH	b1065	SL1344_RS05745	STM1166	STM14_RS06330	STM474_RS05745	ortho_73
sgcB	SL1344_RS08040	STM1613	STM14_RS08940	STM474_RS08040	b4565	SL1344_RS08040	STM1613	STM14_RS08940	STM474_RS08040	ortho_74
aceE	aceE	aceE	aceE	aceE	b0114	SL1344_RS00775	STM0152	STM14_RS01345	STM474_RS00775	ortho_75
damX	SL1344_RS17985	damX	STM14_RS18490	damX	b3388	SL1344_RS17985	STM3485	STM14_RS18490	STM474_RS17985	ortho_76
fepE	SL1344_RS02975	fepE	STM14_RS03550	fepE	b0587	SL1344_RS02975	STM0589	STM14_RS03550	STM474_RS02975	ortho_77
era	era	era	era	era	b2566	SL1344_RS13220	STM2580	STM14_RS14125	STM474_RS13220	ortho_78
rspB	SL1344_RS07485	rspB	STM14_RS08385	STM474_RS07485	b1580	SL1344_RS07485	STM1506	STM14_RS08385	STM474_RS07485	ortho_79
ydcO	SL1344_RS08005	STM1606	STM14_RS08905	STM474_RS08005	b1433	SL1344_RS08005	STM1606	STM14_RS08905	STM474_RS08005	ortho_80
hokA	SL1344_RS24460	NA	NA	STM474_RS24455	b4455	SL1344_RS24460	NA	NA	STM474_RS24455	ortho_81
insEF3	SL1344_RS14335	STM0325	NA	STM474_RS14335	U00096_CDS_566841_568004	SL1344_RS14335	STM0325	NA	STM474_RS14335	ortho_82
ycaO	SL1344_RS04740	ycaO	ycaO	STM474_RS04740	b0905	SL1344_RS04740	STM0975	STM14_RS05325	STM474_RS04740	ortho_83
yjbR	SL1344_RS21820	yjbR	yjbR	STM474_RS21820	b4057	SL1344_RS21820	STM4251	STM14_RS22320	STM474_RS21820	ortho_84
fliN	SL1344_RS09890	fliN	fliN	fliN	b1946	SL1344_RS09890	STM1977	STM14_RS10795	STM474_RS09890	ortho_85
eutE	SL1344_RS12645	eutE	eutE	STM474_RS12645	b2455	SL1344_RS12645	STM2463	STM14_RS13550	STM474_RS12645	ortho_86
ccmE	SL1344_RS11560	ccmE	ccmE	ccmE	b2197	SL1344_RS11560	STM2250	STM14_RS12465	STM474_RS11560	ortho_87
ttdB	SL1344_RS17325	STM3354	STM14_RS17830	ttdB	b3062	SL1344_RS17325	STM3354	STM14_RS17830	STM474_RS17325	ortho_88
minD	minD	minD	minD	minD	b1175	SL1344_RS09060	STM1815	STM14_RS09965	STM474_RS09060	ortho_89
yfdG	SL1344_RS02825	rfbI	STM14_RS03400	STM474_RS02825	b2350	SL1344_RS02825	STM0559	STM14_RS03400	STM474_RS02825	ortho_90
cyuP	SL1344_RS16740	yhaO	STM14_RS17270	STM474_RS16740	b3110	SL1344_RS16740	STM3239	STM14_RS17270	STM474_RS16740	ortho_91
eda	SL1344_RS09425	eda	STM14_RS10330	kdgA	b1850	SL1344_RS09425	STM1884	STM14_RS10330	STM474_RS09425	ortho_92
map	map	map	STM14_RS01660	map	b0168	SL1344_RS01090	STM0215	STM14_RS01660	STM474_RS01090	ortho_93
mscM	SL1344_RS22320	yjeP	mscM	mscM	b4159	SL1344_RS22320	STM4347	STM14_RS22815	STM474_RS22320	ortho_94
yihO	SL1344_RS20635	yihO	STM14_RS21135	STM474_RS20635	b3876	SL1344_RS20635	STM4017	STM14_RS21135	STM474_RS20635	ortho_95
yncJ	SL1344_RS07990	yncJ	STM14_RS08890	STM474_RS07990	b1436	SL1344_RS07990	STM1603	STM14_RS08890	STM474_RS07990	ortho_96
yqhD	SL1344_RS16360	yqhD	STM14_RS16890	yqhD	b3011	SL1344_RS16360	STM3164	STM14_RS16890	STM474_RS16360	ortho_97
xylA	xylA	xylA	STM14_RS19370	xylA	b3565	SL1344_RS18865	STM3661	STM14_RS19370	STM474_RS18865	ortho_98
cysG	cobA	cysG	cysG	cobA	b3368	SL1344_RS17945	STM3477	STM14_RS18450	STM474_RS17945	ortho_99
eutD	pta	eutD	eutD	pta	b2458	SL1344_RS12660	STM2466	STM14_RS13565	STM474_RS11995	ortho_100
ylcG	SL1344_RS13425	STM2618	STM14_RS14330	STM474_RS13425	b4509	SL1344_RS13425	STM2618	STM14_RS14330	STM474_RS13425	ortho_101
yfcG	SL1344_RS12055	yfcG	STM14_RS12960	yfcG	b2302	SL1344_RS12055	STM2349	STM14_RS12960	STM474_RS12055	ortho_102
cpsB	SL1344_RS10825	manC	STM14_RS11730	cpsB	b2049	SL1344_RS10825	STM2105	STM14_RS11730	STM474_RS10825	ortho_103
gatZ	SL1344_RS16825	gatZ	NA	gatZ	b2095	SL1344_RS16825	STM3257	NA	STM474_RS16825	ortho_104
hxpB	SL1344_RS06570	yniC	STM14_RS07470	hxpB	b1727	SL1344_RS06570	STM1322	STM14_RS07470	STM474_RS06570	ortho_105
yddG	SL1344_RS07830	yddG	yddG	yddG	b1473	SL1344_RS07830	STM1571	STM14_RS08730	STM474_RS07830	ortho_106
deaD	SL1344_RS16940	deaD	STM14_RS17445	deaD	b3162	SL1344_RS16940	STM3280	STM14_RS17445	STM474_RS16940	ortho_107
hybB	SL1344_RS16280	hybB	hybB	hybB	b2995	SL1344_RS16280	STM3148	STM14_RS16810	STM474_RS16280	ortho_108
iap	SL1344_RS15190	iap	STM14_RS15720	STM474_RS15190	b2753	SL1344_RS15190	STM2936	STM14_RS15720	STM474_RS15190	ortho_109
rpsO	SL1344_RS16955	rpsO	STM14_RS17460	rpsO	b3165	SL1344_RS16955	STM3283	STM14_RS17460	STM474_RS16955	ortho_110
ribD	SL1344_RS02330	ybaE	STM14_RS02900	STM474_RS02330	b0414	SL1344_RS02330	STM0456	STM14_RS02900	STM474_RS02330	ortho_111
allD	SL1344_RS02680	allD	STM14_RS03250	allD	b0517	SL1344_RS02680	STM0528	STM14_RS03250	STM474_RS02680	ortho_112
hda	SL1344_RS12810	yfgE	hda	hda	b2496	SL1344_RS12810	STM2496	STM14_RS13715	STM474_RS12810	ortho_113
yciK	SL1344_RS08585	yciK	STM14_RS09490	STM474_RS08585	b1271	SL1344_RS08585	STM1717	STM14_RS09490	STM474_RS08585	ortho_114
tsf	tsf	tsf	STM14_RS01670	tsf	b0170	SL1344_RS01100	STM0217	STM14_RS01670	STM474_RS01100	ortho_115
htpG	SL1344_RS02480	htpG	htpG	htpG	b0473	SL1344_RS02480	STM0487	STM14_RS03050	STM474_RS02480	ortho_116
cheB	SL1344_RS09590	cheB	STM14_RS10495	cheB	b1883	SL1344_RS09590	STM1917	STM14_RS10495	STM474_RS09590	ortho_117
rpnB	SL1344_RS18100	STM3508	STM14_RS18605	STM474_RS18100	b2305	SL1344_RS18100	STM3508	STM14_RS18605	STM474_RS18100	ortho_118
nadK	SL1344_RS13830	yfjB	ppnK	nadK	b2615	SL1344_RS13830	STM2683	STM14_RS14655	STM474_RS13830	ortho_119
yqaA	SL1344_RS14600	yqaA	STM14_RS15130	STM474_RS14600	b2689	SL1344_RS14600	STM2819	STM14_RS15130	STM474_RS14600	ortho_120
hsrA	NA	yieO	STM14_RS20515	NA	b3754	NA	STM3887	STM14_RS20515	NA	ortho_121
bioD	SL1344_RS04035	bioD	STM14_RS04610	bioD	b0778	SL1344_RS04035	STM0797	STM14_RS04610	STM474_RS04035	ortho_122
tcyL	SL1344_RS09765	yecS	STM14_RS10670	tcyL	b1918	SL1344_RS09765	STM1952	STM14_RS10670	STM474_RS09765	ortho_123
ynfB	SL1344_RS07470	ynfB	STM14_RS08370	STM474_RS07470	b1583	SL1344_RS07470	STM1503	STM14_RS08370	STM474_RS07470	ortho_124
aroG	SL1344_RS03850	aroG	STM14_RS04425	aroG	b0754	SL1344_RS03850	STM0760	STM14_RS04425	STM474_RS03850	ortho_125
glpC	glpC	glpC	STM14_RS12640	glpC	b2243	SL1344_RS11735	STM2286	STM14_RS12640	STM474_RS11735	ortho_126
lpoB	SL1344_RS05955	ycfM	lpoB	lpoB	b1105	SL1344_RS05955	STM1207	STM14_RS06540	STM474_RS05955	ortho_127
ypjA	SL1344_RS01910	yaiU	STM14_RS02480	NA	b2647	SL1344_RS01910	STM0373	STM14_RS02480	NA	ortho_128
araA	SL1344_RS00515	araA	STM14_RS01085	araA	b0062	SL1344_RS00515	STM0102	STM14_RS01085	STM474_RS00515	ortho_129
ylbF	SL1344_RS02695	ylbF	ylbF	STM474_RS02695	b0520	SL1344_RS02695	STM0531	STM14_RS03265	STM474_RS02695	ortho_130
prpR	SL1344_RS01880	prpR	STM14_RS02450	prpR	b0330	SL1344_RS01880	STM0367	STM14_RS02450	STM474_RS01880	ortho_131
ybhN	SL1344_RS04105	ybhN	STM14_RS04690	STM474_RS04105	b0788	SL1344_RS04105	STM0811	STM14_RS04690	STM474_RS04105	ortho_132
ynfD	SL1344_RS07455	ynfD	STM14_RS08355	STM474_RS07455	b1586	SL1344_RS07455	STM1500	STM14_RS08355	STM474_RS07455	ortho_133
ydcR	SL1344_RS07965	ydcR	STM14_RS08865	STM474_RS07965	b1439	SL1344_RS07965	STM1598	STM14_RS08865	STM474_RS07965	ortho_134
ycfK	SL1344_RS10010	STM2235	STM14_RS10915	STM474_RS10010	b1154	SL1344_RS10010	STM2235	STM14_RS10915	STM474_RS10010	ortho_135
glgC	glgC	glgC	STM14_RS18740	glgC	b3430	SL1344_RS18235	STM3536	STM14_RS18740	STM474_RS18235	ortho_136
pyrB	SL1344_RS22885	pyrB	STM14_RS23380	pyrB	b4245	SL1344_RS22885	STM4460	STM14_RS23380	STM474_RS22885	ortho_137
mepK	SL1344_RS04845	ycbK	STM14_RS05430	STM474_RS04845	b0926	SL1344_RS04845	STM0996	STM14_RS05430	STM474_RS04845	ortho_138
yibL	SL1344_RS19010	yibL	STM14_RS19515	STM474_RS19010	b3602	SL1344_RS19010	STM3689	STM14_RS19515	STM474_RS19010	ortho_139
yfaL	SL1344_RS12885	shdA	misL	misL	b2233	SL1344_RS12885	STM2513	STM14_RS19855	STM474_RS19350	ortho_140
fucP	fucP	STM3792	STM14_RS15915	fucP	b2801	SL1344_RS15390	STM3792	STM14_RS15915	STM474_RS15390	ortho_141
eutP	SL1344_RS12675	eutP	eutP	eutP	b2461	SL1344_RS12675	STM2469	STM14_RS11485	STM474_RS12675	ortho_142
nuoB	SL1344_RS11940	nuoB	nuoB	nuoB	b2287	SL1344_RS11940	STM2327	STM14_RS12845	STM474_RS11940	ortho_143
prpC	SL1344_RS01890	prpC	prpC	prpC	b0333	SL1344_RS01890	STM0369	STM14_RS02460	STM474_RS01890	ortho_144
yidC	SL1344_RS19780	yidC	yidC	yidC	b3705	SL1344_RS19780	STM3842	STM14_RS20285	STM474_RS19780	ortho_145
yaaA	SL1344_RS00025	yaaA	yaaA	yaaA	b0006	SL1344_RS00025	STM0005	STM14_RS00590	STM474_RS00025	ortho_146
sdaB	SL1344_RS16745	tdcG	STM14_RS10025	sdaB	b2797	SL1344_RS16745	STM3240	STM14_RS10025	STM474_RS15370	ortho_147
ybhQ	SL1344_RS04120	ybhQ	STM14_RS04705	STM474_RS04120	b0791	SL1344_RS04120	STM0814	STM14_RS04705	STM474_RS04120	ortho_148
yfdM	SL1344_RS10180	NA	STM14_RS11085	STM474_RS10180	b2356	SL1344_RS10180	NA	STM14_RS11085	STM474_RS10180	ortho_149
plaP	SL1344_RS10640	yeeF	STM14_RS11545	plaP	b2014	SL1344_RS10640	STM2068	STM14_RS11545	STM474_RS10640	ortho_150
fdhE	SL1344_RS20725	fdhE	fdhE	fdhE	b3891	SL1344_RS20725	STM4034	STM14_RS21225	STM474_RS20725	ortho_151
pheT	SL1344_RS06650	pheT	STM14_RS07550	pheT	b1713	SL1344_RS06650	STM1338	STM14_RS07550	STM474_RS06650	ortho_152
yjiJ	SL1344_RS23170	yjiJ	STM14_RS23665	STM474_RS23170	b4332	SL1344_RS23170	STM4515	STM14_RS23665	STM474_RS23170	ortho_153
nei	SL1344_RS03680	nei	STM14_RS04255	nei	b0714	SL1344_RS03680	STM0728	STM14_RS04255	STM474_RS03680	ortho_154
mltB	SL1344_RS14660	mltB	STM14_RS15190	mltB	b2701	SL1344_RS14660	STM2831	STM14_RS15190	STM474_RS14660	ortho_155
mntS	mntS	NA	mntS	mntS	b4705	SL1344_RS25090	NA	STM14_RS24535	STM474_RS25070	ortho_156
yjbE	SL1344_RS21675	yjbE	STM14_RS22175	STM474_RS21675	b4026	SL1344_RS21675	STM4222	STM14_RS22175	STM474_RS21675	ortho_157
modA	SL1344_RS03955	modA	STM14_RS04530	modA	b0763	SL1344_RS03955	STM0781	STM14_RS04530	STM474_RS03955	ortho_158
srlE	srlE	srlE	srlE	STM474_RS14670	b2703	SL1344_RS14670	STM2833	STM14_RS15200	STM474_RS14670	ortho_159
mpaA	SL1344_RS08385	ycjI	STM14_RS09285	mpaA	b1326	SL1344_RS08385	STM1680	STM14_RS09285	STM474_RS08385	ortho_160
mdtK	mdtK	mdtK	mdtK	mdtK	b1663	SL1344_RS07080	STM1425	STM14_RS07980	STM474_RS07080	ortho_161
pdhR	SL1344_RS00770	pdhR	STM14_RS01340	pdhR	b0113	SL1344_RS00770	STM0151	STM14_RS01340	STM474_RS00770	ortho_162
selB	SL1344_RS18975	selB	selB	selB	b3590	SL1344_RS18975	STM3682	STM14_RS19480	STM474_RS18975	ortho_163
fruB	SL1344_RS20985	fpr	STM14_RS21485	fpr	b2169	SL1344_RS20985	STM4084	STM14_RS21485	STM474_RS20985	ortho_164
sfmD	SL1344_RS00115	fimD	STM14_RS00680	STM474_RS02770	b0532	SL1344_RS00115	STM0546	STM14_RS00680	STM474_RS02770	ortho_165
norV	SL1344_RS14710	flrD	STM14_RS15240	norV	b2710	SL1344_RS14710	STM2840	STM14_RS15240	STM474_RS14710	ortho_166
yccX	SL1344_RS05320	yccX	STM14_RS05905	yccX	b0968	SL1344_RS05320	STM1083	STM14_RS05905	STM474_RS05320	ortho_167
ymiA	SL1344_RS08560	NA	STM14_RS09465	STM474_RS08560	b4522	SL1344_RS08560	NA	STM14_RS09465	STM474_RS08560	ortho_168
gmd	gmd	gmd	gmd	gmd	b2053	SL1344_RS10845	STM2109	STM14_RS11750	STM474_RS10845	ortho_169
motA	motA	motA	motA	motA	b1890	SL1344_RS09620	STM1923	STM14_RS10525	STM474_RS09620	ortho_170
uvrA	SL1344_RS21835	uvrA	STM14_RS22335	uvrA	b4058	SL1344_RS21835	STM4254	STM14_RS22335	STM474_RS21835	ortho_171
mgtS	SL1344_RS27040	NA	NA	mgtS	b4599	SL1344_RS27040	NA	NA	STM474_RS26980	ortho_172
iprA	SL1344_RS01915	iprA	STM14_RS02485	iprA	b0375	SL1344_RS01915	STM0374	STM14_RS02485	STM474_RS01915	ortho_173
erpA	SL1344_RS01035	yadR	erpA	erpA	b0156	SL1344_RS01035	STM0204	STM14_RS01605	STM474_RS01035	ortho_174
ybgP	SL1344_RS15665	stdC	stdC	NA	b0717	SL1344_RS15665	STM3027	STM14_RS16190	NA	ortho_175
rcnR	SL1344_RS15640	rcnR	STM14_RS16165	rcnR	b2105	SL1344_RS15640	STM3023	STM14_RS16165	STM474_RS15640	ortho_176
ldtC	SL1344_RS05995	ycfS	lysM	STM474_RS05995	b1113	SL1344_RS05995	STM1215	STM14_RS06580	STM474_RS05995	ortho_177
flgE	flgE	flgE	flgE	flgE	b1076	SL1344_RS05800	STM1177	STM14_RS06385	STM474_RS05800	ortho_178
aroH	SL1344_RS06695	aroH	aroH	aroH	b1704	SL1344_RS06695	STM1347	STM14_RS07595	STM474_RS06695	ortho_179
sbmA	SL1344_RS01925	sbmA	STM14_RS02495	sbmA	b0377	SL1344_RS01925	STM0376	STM14_RS02495	STM474_RS01925	ortho_180
torA	SL1344_RS19675	torA	torA	torA	b0997	SL1344_RS19675	STM3822	STM14_RS20180	STM474_RS19675	ortho_181
ybhF	SL1344_RS04135	ybhF	STM14_RS04720	STM474_RS04135	b0794	SL1344_RS04135	STM0817	STM14_RS04720	STM474_RS04135	ortho_182
gfcD	SL1344_RS21690	yjbH	STM14_RS22190	NA	b0984	SL1344_RS21690	STM4225	STM14_RS22190	NA	ortho_183
pbpC	SL1344_RS12975	pbpC	STM14_RS13880	pbpC	b2519	SL1344_RS12975	STM2531	STM14_RS13880	STM474_RS12975	ortho_184
rpsB	rpsB	rpsB	STM14_RS01665	rpsB	b0169	SL1344_RS01095	STM0216	STM14_RS01665	STM474_RS01095	ortho_185
cueO	SL1344_RS00855	cueO	STM14_RS01425	cueO	b0123	SL1344_RS00855	STM0168	STM14_RS01425	STM474_RS00855	ortho_186
panC	SL1344_RS00920	panC	STM14_RS01490	panC	b0133	SL1344_RS00920	STM0181	STM14_RS01490	STM474_RS00920	ortho_187
