gene_id	start	stop	strand	gene_name	product	tu	GeneID	chromosome	protein_id	taxid	TF_name	TF_K12_ortho	gene_synonyms	protein_synonyms
PSLT023	16636	17625	R	repA2	DNA replication,DNA replication	repA2	1256216	NC_003277.2	NP_490513.1	99287	NA	NA	PSLT023,repA2,NP_490513.1	NP_490513.1,DNA replication
STM0017	17043	17486	R	STM0017	hypothetical protein,hypothetical protein	STM0017 // STM0016	1251535	NC_003197.2	NP_459022.1	194701	Trans_reg_C	-	STM0017,NP_459022.1,PF00486.27	NP_459022.1,hypothetical protein,Trans_reg_C
PSLT024	17369	17677	D	PSLT024	hypothetical protein,hypothetical protein	PSLT024	1256217	NC_003277.2	NP_490514.1	99287	NA	NA	PSLT024,NP_490514.1	NP_490514.1,hypothetical protein
STM0018	17867	19966	D	STM0018	chitinase,chitinase	STM0018	1251536	NC_003197.2	NP_459023.1	194701	NA	NA	STM0018,NP_459023.1	NP_459023.1,chitinase
PSLT025	18119	18415	R	PSLT025	putative cytoplasmic protein,putative cytoplasmic protein	PSLT025	1256215	NC_003277.2	NP_490515.1	99287	NA	NA	PSLT025,NP_490515.1	NP_490515.1,putative cytoplasmic protein
PSLT026	18899	19420	R	PSLT026	putative periplasmic protein,putative periplasmic protein	PSLT026	1256213	NC_003277.2	NP_490516.1	99287	NA	NA	PSLT026,NP_490516.1	NP_490516.1,putative periplasmic protein
STM0019	20058	23054	D	STM0019	chitinase,chitinase	STM0019	1251537	NC_003197.2	NP_459024.1	194701	NA	NA	STM0019,NP_459024.1	NP_459024.1,chitinase
PSLT027	20096	20314	D	ccdA	toxin addiction system: antidote,toxin addiction system: antidote	PSLT032 // rsdB // PSLT030 // PSLT029 // ccdB // ccdA	1256214	NC_003277.2	NP_490517.1	99287	-	CCDA_ECO57	PSLT027,ccdA,NP_490517.1,-	NP_490517.1,CcdA,toxin addiction system: antidote,-
PSLT028	20316	20621	D	ccdB	toxin addiction system: toxin,toxin addiction system: toxin	PSLT032 // rsdB // PSLT030 // PSLT029 // ccdB // ccdA	1256209	NC_003277.2	NP_490518.1	99287	NA	NA	PSLT028,ccdB,NP_490518.1	NP_490518.1,CcdB,toxin addiction system: toxin
PSLT029	20623	20913	D	PSLT029	putative cytoplasmic protein,putative cytoplasmic protein	PSLT032 // rsdB // PSLT030 // PSLT029 // ccdB // ccdA	1256212	NC_003277.2	NP_490519.1	99287	NA	NA	PSLT029,NP_490519.1	NP_490519.1,putative cytoplasmic protein
PSLT030	20910	21431	D	PSLT030	putative cytoplasmic protein,putative cytoplasmic protein	PSLT032 // rsdB // PSLT030 // PSLT029 // ccdB // ccdA	1256211	NC_003277.2	NP_490520.1	99287	NA	NA	PSLT030,NP_490520.1	NP_490520.1,putative cytoplasmic protein
PSLT031	21466	22248	D	rsdB	resolvase,resolvase	PSLT032 // rsdB // PSLT030 // PSLT029 // ccdB // ccdA	1256210	NC_003277.2	NP_490521.1	99287	NA	NA	PSLT031,rsdB,NP_490521.1	NP_490521.1,resolvase,RsdB
PSLT032	22257	22808	D	PSLT032	putative diguanylate cyclase/phosphodiesterase,putative diguanylate cyclase/phosphodiesterase	PSLT032 // rsdB // PSLT030 // PSLT029 // ccdB // ccdA	1256207	NC_003277.2	NP_490522.1	99287	NA	NA	PSLT032,NP_490522.1	NP_490522.1,putative diguanylate cyclase/phosphodiesterase
STM0020	23335	24039	D	STM0020	putative cytoplasmic protein,hypothetical protein	STM0020	1251538	NC_003197.2	NP_459025.1	194701	NA	NA	STM0020,NP_459025.1	NP_459025.1,putative cytoplasmic protein
PSLT033	23477	23962	D	PSLT033	putative inner membrane protein,putative inner membrane protein	PSLT033	1256205	NC_003277.2	NP_490523.1	99287	NA	NA	PSLT033,NP_490523.1	NP_490523.1,putative inner membrane protein
STM0021	24469	25011	D	bcfA	fimbrial protein,fimbrial protein	bcfA	1251539	NC_003197.2	NP_459026.1	194701	NA	NA	STM0021,bcfA,NP_459026.1	NP_459026.1,BcfA,fimbrial protein
PSLT034	24682	25242	D	PSLT034	putative adhesin,putative adhesin	PSLT034	1256206	NC_003277.2	NP_490524.1	99287	NA	NA	PSLT034,NP_490524.1	NP_490524.1,putative adhesin
STM0022	25112	25798	D	bcfB	fimbrial chaperone protein,fimbrial chaperone protein	bcfG // bcfF // bcfE // bcfD // bcfC // bcfB	1251540	NC_003197.2	NP_459027.1	194701	NA	NA	STM0022,bcfB,NP_459027.1	NP_459027.1,BcfB,fimbrial chaperone protein
PSLT035	25309	25659	R	spvD	putative transposase,putative transposase	spvD	1256204	NC_003277.2	NP_490525.1	99287	NA	NA	PSLT035,spvD,NP_490525.1	NP_490525.1,putative transposase,Salmonella plasmid virulence: hydrophilic protein,SpvC,SpvC // SpvD,SpvD
STM0023	25803	28424	D	bcfC	outer membrane usher protein,outer membrane usher protein	bcfG // bcfF // bcfE // bcfD // bcfC // bcfB	1251541	NC_003197.2	NP_459028.1	194701	NA	NA	STM0023,bcfC,NP_459028.1	NP_459028.1,BcfC,outer membrane usher protein
PSLT036	25877	26140	D	PSLT036	putative transposase, IS200-like,putative transposase, IS200-like	PSLT036	1256203	NC_003277.2	NP_490526.1	99287	NA	NA	PSLT036,NP_490526.1	NP_490526.1, IS200-like,putative transposase
PSLT037	26267	26917	R	spvD	Salmonella plasmid virulence: hydrophilic protein,Salmonella plasmid virulence: hydrophilic protein	spvD	1256202	NC_003277.2	NP_490527.1	99287	NA	NA	PSLT037,spvD,NP_490527.1,spvC	NP_490527.1,putative transposase,Salmonella plasmid virulence: hydrophilic protein,SpvC,SpvC // SpvD,SpvD
PSLT038	27178	27903	R	spvC	Salmonella plasmid virulence: hydrophilic protein,Salmonella plasmid virulence: hydrophilic protein	spvC	1256201	NC_003277.2	NP_490528.1	99287	NA	NA	PSLT038,spvC,NP_490528.1,vsdD // mkaD // spvB	NP_490528.1,MkaD,MkaD // VsdD // SpvB // SpvC,Salmonella plasmid virulence: hydrophilic protein,SpvB,SpvC,VsdD
PSLT039	28185	29960	R	spvB	mono(ADP-ribosyl)transferase,Salmonella plasmid virulence: hydrophilic protein	spvB	1256199	NC_003277.2	NP_490529.1	99287	NA	NA	PSLT039,spvB,NP_490529.1,spvA	NP_490529.1,mono(ADP-ribosyl)transferase,SpvA,SpvA // SpvB,SpvB
STM0024	28425	29432	D	bcfD	fimbrial protein,fimbrial protein	bcfG // bcfF // bcfE // bcfD // bcfC // bcfB	1251542	NC_003197.2	NP_459029.1	194701	NA	NA	STM0024,bcfD,NP_459029.1	NP_459029.1,BcfD,fimbrial protein
STM0025	29433	29978	D	bcfE	fimbrial protein,fimbrial protein	bcfG // bcfF // bcfE // bcfD // bcfC // bcfB	1251543	NC_003197.2	NP_459030.1	194701	NA	NA	STM0025,bcfE,NP_459030.1	NP_459030.1,BcfE,fimbrial protein
STM0026	29994	30512	D	bcfF	fimbrial protein,fimbrial protein	bcfG // bcfF // bcfE // bcfD // bcfC // bcfB	1251544	NC_003197.2	NP_459031.1	194701	NA	NA	STM0026,bcfF,NP_459031.1	NP_459031.1,BcfF,fimbrial protein
PSLT040	30142	30909	R	spvA	Salmonella plasmid virulence: outer membrane protein,Salmonella plasmid virulence: outer membrane protein	spvA	1256200	NC_003277.2	NP_490530.1	99287	NA	NA	PSLT040,spvA,NP_490530.1,spvR	NP_490530.1,Salmonella plasmid virulence: outer membrane protein,SpvA,SpvR,SpvR // SpvA
STM0027	30478	31209	D	bcfG	fimbrial chaparone,fimbrial chaparone	bcfG // bcfF // bcfE // bcfD // bcfC // bcfB	1251545	NC_003197.2	NP_459032.1	194701	NA	NA	STM0027,bcfG,NP_459032.1	NP_459032.1,BcfG,fimbrial chaparone
STM0028	31274	32119	D	bcfH	putative thiol-disulfide isomerase,hypothetical protein	bcfH	1251546	NC_003197.2	NP_459033.1	194701	NA	NA	STM0028,bcfH,NP_459033.1	NP_459033.1,BcfH,putative thiol-disulfide isomerase
PSLT041	31421	32314	R	spvR	Salmonella plasmid virulence: regulation of spv operon, lysR family,Salmonella plasmid virulence: regulation of spv operon, lysR family	spvR	1256197	NC_003277.2	NP_490531.1	99287	HTH_1	-	PSLT041,spvR,NP_490531.1,vagA // mkfC,PF00126.26	NP_490531.1, lysR family,MkfC,MkfC // VagA // SpvR,Salmonella plasmid virulence: regulation of spv operon,SpvR,VagA,HTH_1
STM0029	32545	32994	R	STM0029	transcriptional regulator,transcriptional regulator	STM0029	1251547	NC_003197.2	NP_459034.1	194701	Trans_reg_C	-	STM0029,NP_459034.1,PF00486.27	NP_459034.1,transcriptional regulator,Trans_reg_C
PSLT042	32923	33960	D	PSLT042	putative integrase protein,putative integrase protein	PSLT042	1256195	NC_003277.2	NP_490532.1	99287	NA	NA	PSLT042,NP_490532.1	NP_490532.1,putative integrase protein
STM0030	33364	34368	D	STM0030	putative LysR family transcriptional regulator,putative LysR family transcriptional regulator	STM0030	1251548	NC_003197.2	NP_459035.1	194701	HTH_1	-	STM0030,NP_459035.1,PF00126.26	NP_459035.1,putative LysR family transcriptional regulator,HTH_1
PSLT043	34149	35174	R	PSLT043	putative phosphoribulokinase / uridine kinase family,putative phosphoribulokinase / uridine kinase family	PSLT045 // rlgA // PSLT043	1256196	NC_003277.2	NP_490533.1	99287	NA	NA	PSLT043,NP_490533.1	NP_490533.1,putative phosphoribulokinase / uridine kinase family
STM0031	34376	34816	R	STM0031	transcriptional regulator,transcriptional regulator	STM0031	1251549	NC_003197.2	NP_459036.1	194701	Trans_reg_C	-	STM0031,NP_459036.1,PF00486.27	NP_459036.1,transcriptional regulator,Trans_reg_C
PSLT044	35107	36771	R	rlgA	putative integrase protein,putative integrase protein	PSLT045 // rlgA // PSLT043	1256194	NC_003277.2	NP_490534.1	99287	NA	NA	PSLT044,rlgA,NP_490534.1	NP_490534.1,putative integrase protein,RlgA
STM0032	35339	37057	D	STM0032	putative arylsulfatase,putative arylsulfatase	STM0032	1251550	NC_003197.2	NP_459037.1	194701	NA	NA	STM0032,NP_459037.1	NP_459037.1,putative arylsulfatase
PSLT045	36755	37315	R	PSLT045	putative resolvase,putative resolvase	PSLT045 // rlgA // PSLT043	1256192	NC_003277.2	NP_490535.1	99287	NA	NA	PSLT045,NP_490535.1	NP_490535.1,putative resolvase
STM0033	37103	38674	R	STM0033	multifunctional 2',3'-cyclic-nucleotide 2'-phosphodiesterase/5'-nucleotidase/3'-nucleotidase,multifunctional 2',3'-cyclic-nucleotide 2'-phosphodiesterase/5'-nucleotidase/3'-nucleotidase	STM0033	1251551	NC_003197.2	NP_459038.1	194701	NA	NA	STM0033,NP_459038.1	NP_459038.1,3'-cyclic-nucleotide 2'-phosphodiesterase/5'-nucleotidase/3'-nucleotidase,multifunctional 2'
PSLT046	37522	38262	R	PSLT046	putative carbonic anhydrase,putative carbonic anhydrase	PSLT046	1256193	NC_003277.2	NP_490536.1	99287	NA	NA	PSLT046,NP_490536.1	NP_490536.1,putative carbonic anhydrase
STM0034	38773	39534	R	STM0034	putative outer membrane or exported protein,hypothetical protein	STM0034	1251552	NC_003197.2	NP_459039.1	194701	NA	NA	STM0034,NP_459039.1	NP_459039.1,putative outer membrane or exported protein
PSLT047	38917	39405	R	PSLT047	putative cytoplasmic protein,putative cytoplasmic protein	PSLT047	1256191	NC_003277.2	NP_490537.1	99287	NA	NA	PSLT047,NP_490537.1	NP_490537.1,putative cytoplasmic protein
PSLT048	39664	40779	D	tlpA	alpha-helical coiled coil protein,alpha-helical coiled coil protein	tlpA	1256190	NC_003277.2	NP_490538.1	99287	NA	NA	PSLT048,tlpA,NP_490538.1	NP_490538.1,alpha-helical coiled coil protein,TlpA
STM0035	40131	41624	D	STM0035	putative arylsulfatase,putative arylsulfatase	STM0035	1251553	NC_003197.2	NP_459040.1	194701	NA	NA	STM0035,NP_459040.1	NP_459040.1,putative arylsulfatase
PSLT049	40865	41281	D	PSLT049	putative DNA polymerase III epsilon subunit (3'-5' exonuclease),putative DNA polymerase III epsilon subunit (3'-5' exonuclease)	PSLT049	1256189	NC_003277.2	NP_490539.1	99287	NA	NA	PSLT049,NP_490539.1	NP_490539.1,putative DNA polymerase III epsilon subunit (3'-5' exonuclease)
PSLT050	40975	41301	R	PSLT050	putative cytoplasmic protein,putative cytoplasmic protein	PSLT050	30522293	NC_003277.2	NP_490540.1	99287	NA	NA	PSLT050,NP_490540.1	NP_490540.1,putative cytoplasmic protein
STM0036	41723	42913	D	STM0036	anaerobic sulfatase maturase,anaerobic sulfatase maturase	STM0037 // STM0036	1251554	NC_003197.2	NP_459041.1	194701	NA	NA	STM0036,NP_459041.1	NP_459041.1,anaerobic sulfatase maturase
PSLT051	42455	43396	R	samB	Recombination-promoting nuclease pSLT051,putative cytoplasmic protein	samB	1256185	NC_003277.2	NP_490541.1	99287	NA	NA	PSLT051,samB,NP_490541.1	NP_490541.1,mutagenesis by UV and mutagens; related to umuDC operon,Recombination-promoting nuclease pSLT051,SamA,SamA // SamB,SamB
STM0037	42932	44185	D	STM0037	putative cytoplasmic protein,putative cytoplasmic protein	STM0037 // STM0036	1251555	NC_003197.2	NP_459042.1	194701	NA	NA	STM0037,NP_459042.1	NP_459042.1,putative cytoplasmic protein
PSLT052	43811	45016	D	parA	plasmid partition protein A,plasmid partition protein A	parB // parA	1256186	NC_003277.2	NP_490542.1	99287	NA	NA	PSLT052,parA,NP_490542.1	NP_490542.1,ParA,plasmid partition protein A
STM0038	44312	46027	D	STM0038	putative arylsulfatase,putative arylsulfatase	STM0038	1251556	NC_003197.2	NP_459043.1	194701	NA	NA	STM0038,NP_459043.1	NP_459043.1,putative arylsulfatase
PSLT053	45013	45990	D	parB	plasmid partition protein B,plasmid partition protein B	parB // parA	1256184	NC_003277.2	NP_490543.1	99287	NA	NA	PSLT053,parB,NP_490543.1	NP_490543.1,ParB,plasmid partition protein B
PSLT054	46072	47346	R	samB	mutagenesis by UV and mutagens; related to umuDC operon,mutagenesis by UV and mutagens; related to umuDC operon	samA // samB	1256183	NC_003277.2	NP_490544.1	99287	NA	NA	PSLT054,samB,NP_490544.1,samA	NP_490544.1,mutagenesis by UV and mutagens; related to umuDC operon,Recombination-promoting nuclease pSLT051,SamA,SamA // SamB,SamB
STM0039	46190	47356	D	nhaA	Na(+)/H(+) antiporter,Na(+)/H(+) antiporter NhaA	nhaA	1251557	NC_003197.2	NP_459044.1	194701	NA	NA	STM0039,nhaA,NP_459044.1	NP_459044.1,Na(+)/H(+) antiporter,NhaA
PSLT055	47346	47768	R	samA	mutagenesis by UV and mutagens; related to umuDC operon,mutagenesis by UV and mutagens; related to umuDC operon	samA // samB	1256182	NC_003277.2	NP_490545.1	99287	NA	NA	PSLT055,samA,NP_490545.1	NP_490545.1,mutagenesis by UV and mutagens; related to umuDC operon,SamA
STM0040	47418	48317	D	nhaR	transcriptional activator of nhaA,transcriptional activator of nhaA	nhaR	1251558	NC_003197.2	NP_459045.1	194701	HTH_1	NHAR_ECOLI	STM0040,nhaR,NP_459045.1,PF00126.26	NP_459045.1,NhaR,transcriptional activator of nhaA,HTH_1
PSLT056	48279	48749	D	PSLT056	putative cytoplasmic protein,putative cytoplasmic protein	PSLT057 // PSLT056	1256180	NC_003277.2	NP_490546.1	99287	NA	NA	PSLT056,NP_490546.1	NP_490546.1,putative cytoplasmic protein
STM0041	48372	50411	R	STM0041	family 31 glucosidase,family 31 glucosidase	STM0042 // STM0041	1251559	NC_003197.2	NP_459046.1	194701	NA	NA	STM0041,NP_459046.1	NP_459046.1,family 31 glucosidase
PSLT057	48742	49098	D	PSLT057	putative cytoplasmic protein,putative cytoplasmic protein	PSLT057 // PSLT056	1256181	NC_003277.2	NP_490547.1	99287	NA	NA	PSLT057,NP_490547.1	NP_490547.1,putative cytoplasmic protein
PSLT058	49448	49860	NA	PSLT058		PSLT058	NA	NA	NA	NA	NA	NA	PSLT058	
PSLT059	49480	50160	D	PSLT059	putative adenine-specific DNA methylase,putative adenine-specific DNA methylase	PSLT060 // PSLT059	1256178	NC_003277.2	NP_490548.1	99287	NA	NA	PSLT059,NP_490548.1	NP_490548.1,putative adenine-specific DNA methylase
PSLT060	50160	50381	D	PSLT060	putative cytoplasmic protein,putative cytoplasmic protein	PSLT060 // PSLT059	1256177	NC_003277.2	NP_490549.1	99287	NA	NA	PSLT060,NP_490549.1	NP_490549.1,putative cytoplasmic protein
STM0042	50451	51824	R	STM0042	putative sodium galactoside symporter,MFS transporter	STM0042 // STM0041	1251560	NC_003197.2	NP_459047.1	194701	NA	NA	STM0042,NP_459047.1	NP_459047.1,putative sodium galactoside symporter
PSLT061	50922	51686	D	PSLT061	putative inner membrane protein,putative inner membrane protein	PSLT061	1256176	NC_003277.2	NP_490550.1	99287	NA	NA	PSLT061,NP_490550.1	NP_490550.1,putative inner membrane protein
PSLT062	52182	52616	D	PSLT062	putative cytoplasmic protein,putative cytoplasmic protein	PSLT062	1256173	NC_003277.2	NP_490551.1	99287	NA	NA	PSLT062,NP_490551.1	NP_490551.1,putative cytoplasmic protein
STM0043	52280	52543	R	rpsT	30S ribosomal protein S20,30S ribosomal protein S20	rpsT	1251561	NC_003197.2	NP_459048.1	194701	NA	NA	STM0043,rpsT,NP_459048.1	NP_459048.1,30S ribosomal protein S20,RpsT
STM0044	52649	52864	D	yaaY	putative cytoplasmic protein,hypothetical protein	lspA // ileS // ribF // yaaY	1251562	NC_003197.2	NP_459049.1	194701	NA	NA	STM0044,yaaY,NP_459049.1	NP_459049.1,putative cytoplasmic protein,YaaY
PSLT063	52683	53117	D	PSLT063	putative cytoplasmic protein,putative cytoplasmic protein	PSLT063	1256174	NC_003277.2	NP_490552.1	99287	NA	NA	PSLT063,NP_490552.1	NP_490552.1,putative cytoplasmic protein
STM0045	52872	53810	D	ribF	riboflavin biosynthesis protein,riboflavin biosynthesis protein RibF	lspA // ileS // ribF // yaaY	1251563	NC_003197.2	NP_459050.1	194701	NA	NA	STM0045,ribF,NP_459050.1	NP_459050.1,RibF,riboflavin biosynthesis protein
PSLT064	53353	53676	D	PSLT064	putative inner membrane protein,putative inner membrane protein	PSLT064	1256172	NC_003277.2	NP_490553.1	99287	NA	NA	PSLT064,NP_490553.1	NP_490553.1,putative inner membrane protein
